"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-02-12,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Griekspoor T.","Musetti L.",1.44,2.75,87.11,12.89,"Griekspoor T.",TRUE,"Griekspoor T.",TRUE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Bublik A.","Coric B.",1.91,1.91,87.77,12.23,"Bublik A.",TRUE,NA,FALSE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Shevchenko A.","Zhang Zh.",1.91,1.91,51.14,48.86,"Shevchenko A.",TRUE,NA,FALSE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Fucsovics M.","Marozsan F.",1.67,2.2,30.76,69.24,"Marozsan F.",FALSE,"Fucsovics M.",TRUE,TRUE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","De Minaur A.","Korda S.",1.53,2.5,59.96,40.04,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Struff J.L.","Davidovich Fokina A.",2.3,1.62,31.4,68.6,"Davidovich Fokina A.",FALSE,"Davidovich Fokina A.",FALSE,FALSE,12
2024-02-13,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Hurkacz H.","Lehecka J.",1.36,3.2,99.92,0.08,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Ruusuvuori E.","Humbert U.",2.2,1.67,8.68,91.32,"Humbert U.",FALSE,"Humbert U.",FALSE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Dimitrov G.","Sonego L.",1.22,4.33,100,0,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Rune H.","Safiullin R.",1.8,2,99.3,0.7,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,12
2024-02-14,12,"ABN AMRO World Tennis Tournament","1st Round","Hard","Indoor","Sinner J.","Van De Zandschulp B.",1.1,7,100,0,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,12
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Seyboth Wild T.","Tabilo A.",2.2,1.67,25.31,74.69,"Tabilo A.",FALSE,"Tabilo A.",FALSE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Djere L.","Zapata Miralles B.",1.44,2.75,99.94,0.06,"Djere L.",TRUE,"Djere L.",TRUE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Munar J.","Ofner S.",1.67,2.2,8.85,91.15,"Ofner S.",FALSE,"Munar J.",TRUE,TRUE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Lajovic D.","Galan D.E.",1.57,2.38,100,0,"Lajovic D.",TRUE,"Lajovic D.",TRUE,FALSE,15
2024-02-20,15,"Rio Open","1st Round","Clay","Outdoor","Diaz Acosta F.","Wawrinka S.",2.2,1.67,0.25,99.75,"Wawrinka S.",FALSE,"Wawrinka S.",FALSE,FALSE,15
2024-02-21,15,"Rio Open","1st Round","Clay","Outdoor","Garin C.","Carballes Baena R.",2.2,1.67,95.69,4.31,"Garin C.",TRUE,"Carballes Baena R.",FALSE,FALSE,15
2024-02-21,15,"Rio Open","1st Round","Clay","Outdoor","Hanfmann Y.","Jarry N.",2.5,1.53,0.03,99.97,"Jarry N.",FALSE,"Jarry N.",FALSE,FALSE,15
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Shelton B.","Evans D.",1.36,3.2,99.06,0.94,"Shelton B.",TRUE,"Shelton B.",TRUE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Draper J.","Paul T.",2.1,1.73,91.4,8.6,"Draper J.",TRUE,"Paul T.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Nishioka Y.","Borges N.",2.38,1.57,99.99,0.01,"Nishioka Y.",TRUE,"Borges N.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","De Minaur A.","Daniel T.",1.13,6,100,0,"De Minaur A.",TRUE,"De Minaur A.",TRUE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Arnaldi M.","Fritz T.",5,1.17,0.24,99.76,"Fritz T.",FALSE,"Fritz T.",FALSE,FALSE,16
2024-02-27,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Cobolli F.","Auger-Aliassime F.",3,1.4,1.6,98.4,"Auger-Aliassime F.",FALSE,"Auger-Aliassime F.",FALSE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Tiafoe F.","Purcell M.",1.36,3.2,100,0,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Tsitsipas S.","Safiullin R.",1.4,3,99.98,0.02,"Tsitsipas S.",TRUE,"Tsitsipas S.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Ruud C.","Eubanks C.",1.17,5,99.66,0.34,"Ruud C.",TRUE,"Ruud C.",TRUE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Kovacevic A.","Thompson J.",2.5,1.53,0.05,99.95,"Thompson J.",FALSE,"Thompson J.",FALSE,FALSE,16
2024-02-28,16,"Abierto Mexicano","1st Round","Hard","Outdoor","Altmaier D.","Zverev A.",10,1.06,0,100,"Zverev A.",FALSE,"Zverev A.",FALSE,FALSE,16
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Van De Zandschulp B.","Mannarino A.",1.91,1.91,0.56,99.44,"Mannarino A.",FALSE,NA,FALSE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Korda S.","Kotov P.",1.36,3.2,99.84,0.16,"Korda S.",TRUE,"Korda S.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Bublik A.","Machac T.",2.1,1.73,85.19,14.81,"Bublik A.",TRUE,"Machac T.",FALSE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Rublev A.","Zhang Zh.",1.17,5,100,0,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,17
2024-02-26,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Hurkacz H.","Struff J.L.",1.17,5,99.52,0.48,"Hurkacz H.",TRUE,"Hurkacz H.",TRUE,FALSE,17
2024-02-27,17,"Dubai Tennis Championships","1st Round","Hard","Outdoor","Lehecka J.","Fucsovics M.",1.62,2.3,47.93,52.07,"Fucsovics M.",FALSE,"Lehecka J.",TRUE,TRUE,17
