"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Munar J.","Shevchenko A.",3.2,1.36,18.69,81.31,"Shevchenko A.",FALSE,"Shevchenko A.",FALSE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Sinner J.","Van De Zandschulp B.",1.06,10,100,0,"Sinner J.",TRUE,"Sinner J.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Kotov P.","Rinderknech A.",1.62,2.3,97.65,2.35,"Kotov P.",TRUE,"Kotov P.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Rublev A.","Seyboth Wild T.",1.03,17,99.7,0.3,"Rublev A.",TRUE,"Rublev A.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","O Connell C.","Garin C.",1.44,2.75,34.22,65.78,"Garin C.",FALSE,"O Connell C.",TRUE,TRUE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Baez S.","Wolf J.J.",2.38,1.57,45.3,54.7,"Wolf J.J.",FALSE,"Wolf J.J.",FALSE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Fritz T.","Diaz Acosta F.",1.03,15,98.89,1.11,"Fritz T.",TRUE,"Fritz T.",TRUE,FALSE,5
2024-01-14,5,"Australian Open","1st Round","Hard","Outdoor","Tiafoe F.","Coric B.",1.53,2.5,93.55,6.45,"Tiafoe F.",TRUE,"Tiafoe F.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Cobolli F.","Jarry N.",4.5,1.2,1.54,98.46,"Jarry N.",FALSE,"Jarry N.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Gaston H.","Carballes Baena R.",2.2,1.67,24.43,75.57,"Carballes Baena R.",FALSE,"Carballes Baena R.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Shelton B.","Bautista Agut R.",1.33,3.4,79.51,20.49,"Shelton B.",TRUE,"Shelton B.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Davidovich Fokina A.","Lestienne C.",1.17,5,99.99,0.01,"Davidovich Fokina A.",TRUE,"Davidovich Fokina A.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Mannarino A.","Wawrinka S.",1.4,3,85.45,14.55,"Mannarino A.",TRUE,"Mannarino A.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Van Assche L.","Duckworth J.",1.73,2.1,91.97,8.03,"Van Assche L.",TRUE,"Van Assche L.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Khachanov K.","Altmaier D.",1.22,4.33,99.95,0.05,"Khachanov K.",TRUE,"Khachanov K.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Thompson J.","Vukic A.",1.4,3,86.93,13.07,"Thompson J.",TRUE,"Thompson J.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Zhang Zh.","Coria F.",1.05,11,96.61,3.39,"Zhang Zh.",TRUE,"Zhang Zh.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Eubanks C.","Daniel T.",2.2,1.67,84.61,15.39,"Eubanks C.",TRUE,"Daniel T.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Etcheverry T.","Murray A.",2.2,1.67,54.61,45.39,"Etcheverry T.",TRUE,"Murray A.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Monfils G.","Hanfmann Y.",1.53,2.5,83.69,16.31,"Monfils G.",TRUE,"Monfils G.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Borges N.","Marterer M.",2,1.8,5.78,94.22,"Marterer M.",FALSE,"Marterer M.",FALSE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Auger-Aliassime F.","Thiem D.",1.44,2.75,90.52,9.48,"Auger-Aliassime F.",TRUE,"Auger-Aliassime F.",TRUE,FALSE,5
2024-01-15,5,"Australian Open","1st Round","Hard","Outdoor","Struff J.L.","Hijikata R.",1.62,2.3,86.02,13.98,"Struff J.L.",TRUE,"Struff J.L.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Lehecka J.","Zapata Miralles B.",1.07,9,98.72,1.28,"Lehecka J.",TRUE,"Lehecka J.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Norrie C.","Varillas J. P.",1.1,7,81.36,18.64,"Norrie C.",TRUE,"Norrie C.",TRUE,FALSE,5
2024-01-16,5,"Australian Open","1st Round","Hard","Outdoor","Griekspoor T.","Safiullin R.",2.63,1.5,85.54,14.46,"Griekspoor T.",TRUE,"Safiullin R.",FALSE,FALSE,5
