"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","O Connell C.","Draper J.",4.33,1.22,1.18,98.82,"Draper J.",FALSE,"Draper J.",FALSE,FALSE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Kokkinakis T.","Giron M.",2.63,1.5,84,16,"Kokkinakis T.",TRUE,"Giron M.",FALSE,FALSE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Hanfmann Y.","Cachin P.",1.4,3,91.14,8.86,"Hanfmann Y.",TRUE,"Hanfmann Y.",TRUE,FALSE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Shevchenko A.","Koepfer D.",2.2,1.67,76.04,23.96,"Shevchenko A.",TRUE,"Koepfer D.",FALSE,FALSE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Nakashima B.","Eubanks C.",1.5,2.63,13.95,86.05,"Eubanks C.",FALSE,"Nakashima B.",TRUE,TRUE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Arnaldi M.","Van Assche L.",1.5,2.63,97.71,2.29,"Arnaldi M.",TRUE,"Arnaldi M.",TRUE,FALSE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Marozsan F.","Rodionov J.",1.57,2.38,95.32,4.68,"Marozsan F.",TRUE,"Marozsan F.",TRUE,FALSE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Murray A.","Goffin D.",1.67,2.2,87.76,12.24,"Murray A.",TRUE,"Murray A.",TRUE,FALSE,19
2024-03-06,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Daniel T.","Galan D.E.",1.44,2.75,94.72,5.28,"Daniel T.",TRUE,"Daniel T.",TRUE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Vukic A.","Mochizuki S.",1.91,1.91,25.34,74.66,"Mochizuki S.",FALSE,NA,FALSE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Machac T.","Wawrinka S.",1.5,2.63,21.97,78.03,"Wawrinka S.",FALSE,"Machac T.",TRUE,TRUE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Sonego L.","Kecmanovic M.",2.1,1.73,92.28,7.72,"Sonego L.",TRUE,"Kecmanovic M.",FALSE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Lestienne C.","Kudla D.",1.73,2.1,9.21,90.79,"Kudla D.",FALSE,"Lestienne C.",TRUE,TRUE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Pouille L.","Altmaier D.",2,1.8,53.54,46.46,"Pouille L.",TRUE,"Altmaier D.",FALSE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Lajovic D.","Ruusuvuori E.",2.75,1.44,53.3,46.7,"Lajovic D.",TRUE,"Ruusuvuori E.",FALSE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Safiullin R.","Evans D.",1.67,2.2,87.8,12.2,"Safiullin R.",TRUE,"Safiullin R.",TRUE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Monfils G.","Purcell M.",1.29,3.75,98.58,1.42,"Monfils G.",TRUE,"Monfils G.",TRUE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Mensik J.","Hong S.",1.2,4.5,76.34,23.66,"Mensik J.",TRUE,"Mensik J.",TRUE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Coric B.","Ofner S.",1.3,3.5,48.5,51.5,"Ofner S.",FALSE,"Coric B.",TRUE,TRUE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Michelsen A.","Munar J.",1.36,3.2,72.82,27.18,"Michelsen A.",TRUE,"Michelsen A.",TRUE,FALSE,19
2024-03-07,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Seyboth Wild T.","Wolf J.J.",1.57,2.38,15.6,84.4,"Wolf J.J.",FALSE,"Seyboth Wild T.",TRUE,TRUE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Shang J.","Thompson J.",2.75,1.44,18.34,81.66,"Thompson J.",FALSE,"Thompson J.",FALSE,FALSE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Fils A.","Borges N.",1.73,2.1,99.91,0.09,"Fils A.",TRUE,"Fils A.",TRUE,FALSE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Fognini F.","Zapata Miralles B.",1.53,2.5,61.5,38.5,"Fognini F.",TRUE,"Fognini F.",TRUE,FALSE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Kypson P.","Quinn E.",1.67,2.2,36.59,63.41,"Quinn E.",FALSE,"Kypson P.",TRUE,TRUE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Raonic M.","Nagal S.",1.4,3,94.58,5.42,"Raonic M.",TRUE,"Raonic M.",TRUE,FALSE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Zhang Zh.","Kovacevic A.",1.62,2.3,97.2,2.8,"Zhang Zh.",TRUE,"Zhang Zh.",TRUE,FALSE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Muller A.","Grenier H.",1.8,2,39.59,60.41,"Grenier H.",FALSE,"Muller A.",TRUE,TRUE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Tabilo A.","Kotov P.",1.62,2.3,16.95,83.05,"Kotov P.",FALSE,"Tabilo A.",TRUE,TRUE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Shapovalov D.","Van De Zandschulp B.",1.62,2.3,69.95,30.05,"Shapovalov D.",TRUE,"Shapovalov D.",TRUE,FALSE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Carballes Baena R.","Cobolli F.",3.2,1.36,60.08,39.92,"Carballes Baena R.",TRUE,"Cobolli F.",FALSE,FALSE,19
2024-03-08,19,"BNP Paribas Open","1st Round","Hard","Outdoor","Klein L.","Moreno De Alboran N.",1.57,2.38,53.87,46.13,"Klein L.",TRUE,"Klein L.",TRUE,FALSE,19
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Van Assche L.","Kotov P.",1.73,2.1,6.15,93.85,"Kotov P.",FALSE,"Van Assche L.",TRUE,TRUE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Van De Zandschulp B.","Hijikata R.",1.67,2.2,55.67,44.33,"Van De Zandschulp B.",TRUE,"Van De Zandschulp B.",TRUE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Shapovalov D.","Darderi L.",1.25,4,88.11,11.89,"Shapovalov D.",TRUE,"Shapovalov D.",TRUE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Draper J.","Daniel T.",1.17,5,97.99,2.01,"Draper J.",TRUE,"Draper J.",TRUE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","O Connell C.","Kopriva V.",1.29,3.75,67.78,32.22,"O Connell C.",TRUE,"O Connell C.",TRUE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Cobolli F.","Nishioka Y.",2.1,1.73,7.76,92.24,"Nishioka Y.",FALSE,"Nishioka Y.",FALSE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Machac T.","Blanch D.",1.01,23,68.52,31.48,"Machac T.",TRUE,"Machac T.",TRUE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Fucsovics M.","Purcell M.",1.44,2.75,97.18,2.82,"Fucsovics M.",TRUE,"Fucsovics M.",TRUE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Vavassori A.","Cachin P.",1.5,2.63,73.08,26.92,"Vavassori A.",TRUE,"Vavassori A.",TRUE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Murray A.","Berrettini M.",2.1,1.73,45.88,54.12,"Berrettini M.",FALSE,"Berrettini M.",FALSE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Seyboth Wild T.","Borges N.",1.91,1.91,85.79,14.21,"Seyboth Wild T.",TRUE,NA,FALSE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Shang J.","Kecmanovic M.",2.2,1.67,48.77,51.23,"Kecmanovic M.",FALSE,"Kecmanovic M.",FALSE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Damm M.","Zhang Zh.",3.75,1.29,28.85,71.15,"Zhang Zh.",FALSE,"Zhang Zh.",FALSE,FALSE,20
2024-03-20,20,"Miami Open","1st Round","Hard","Outdoor","Arnaldi M.","Fils A.",2.1,1.73,22.59,77.41,"Fils A.",FALSE,"Fils A.",FALSE,FALSE,20
2024-03-21,20,"Miami Open","1st Round","Hard","Outdoor","Michelsen A.","Klein L.",1.73,2.1,91.24,8.76,"Michelsen A.",TRUE,"Michelsen A.",TRUE,FALSE,20
2024-03-21,20,"Miami Open","1st Round","Hard","Outdoor","Koepfer D.","Giron M.",2.3,1.62,25.21,74.79,"Giron M.",FALSE,"Giron M.",FALSE,FALSE,20
2024-03-21,20,"Miami Open","1st Round","Hard","Outdoor","Altmaier D.","Mayot H.",1.73,2.1,22.76,77.24,"Mayot H.",FALSE,"Altmaier D.",TRUE,TRUE,20
2024-03-21,20,"Miami Open","1st Round","Hard","Outdoor","Djere L.","Wong C.",1.5,2.63,71.5,28.5,"Djere L.",TRUE,"Djere L.",TRUE,FALSE,20
2024-03-21,20,"Miami Open","1st Round","Hard","Outdoor","Auger-Aliassime F.","Walton A.",1.22,4.33,71.89,28.11,"Auger-Aliassime F.",TRUE,"Auger-Aliassime F.",TRUE,FALSE,20
