"Date","ATP","Tournament","Round","Surface","Court","Winner","Loser","margin","B365W","B365L","TTT_Pct_W","TTT_Pct_L","pred","ttt_correct","bookie_pred","bookie_correct","bet365_right_ttt_wrong","ATPk"
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Safiullin R.","Shelton B.",1,2.3,1.62,52.65,47.35,"Safiullin R.",TRUE,"Shelton B.",FALSE,FALSE,1
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Rune H.","Purcell M.",1,1.25,4,68.64,31.36,"Rune H.",TRUE,"Rune H.",TRUE,FALSE,1
2024-01-01,1,"Brisbane International","1st Round","Hard","Outdoor","Dimitrov G.","Murray A.",1,1.33,3.4,68.85,31.15,"Dimitrov G.",TRUE,"Dimitrov G.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Hanfmann Y.","Korda S.",2,4.5,1.2,21.65,78.35,"Korda S.",FALSE,"Korda S.",FALSE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Machac T.","Etcheverry T.",1,1.36,3.2,60.3,39.7,"Machac T.",TRUE,"Machac T.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Thompson J.","Vukic A.",2,1.57,2.38,55.12,44.88,"Thompson J.",TRUE,"Thompson J.",TRUE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Arnaldi M.","Fucsovics M.",1,1.91,1.91,46.6,53.4,"Fucsovics M.",FALSE,NA,FALSE,FALSE,1
2024-01-02,1,"Brisbane International","1st Round","Hard","Outdoor","Hijikata R.","Kokkinakis T.",2,2.63,1.5,37.25,62.75,"Kokkinakis T.",FALSE,"Kokkinakis T.",FALSE,FALSE,1
2024-01-03,1,"Brisbane International","1st Round","Hard","Outdoor","Humbert U.","Michelsen A.",2,1.4,3,53.82,46.18,"Humbert U.",TRUE,"Humbert U.",TRUE,FALSE,1
2024-01-01,2,"Hong Kong Tennis Open","1st Round","Hard","Outdoor","Kotov P.","Borges N.",2,2,1.8,68.1,31.9,"Kotov P.",TRUE,"Borges N.",FALSE,FALSE,2
