ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,y,pred_base,ttt_correct,pred_fat,ttt_fat_correct,p_book,pred_book,bookie_correct,p_base_fav,y_base_fav,p_fat_fav,y_fat_fav,p_book_fav,y_book_fav,theta_used,ATP_k
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,722,1375,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,38,1.756554916430497,0.614244255982866,2.231331215866904,0.27090090890146074,0,0,1.756554916430497,2.231331215866904,0.614244255982866,0.27090090890146074,0.23971551299250335,0.23971551299250338,1,Etcheverry T.,FALSE,Etcheverry T.,FALSE,0.7017543859649122,Machac T.,TRUE,0.7602844870074966,0,0.7602844870074966,0,0.7017543859649122,1,-0.032856346716574135,1
1,Brisbane,Brisbane International,2024-01-03,ATP250,Outdoor,Hard,2nd Round,3,Safiullin R.,Popyrin A.,39,40,1122,1084,6,7,6,4,7,6,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.53,2.68,1.55,2.68,1.52,2.49,36,2.332069802676077,0.30399163781707816,2.3589681114426133,0.28917455154881966,17.4375,15.1875,2.332069802676077,2.3589681114426133,0.30399163781707816,0.28917455154881966,0.4744411813796193,0.492901056659081,1,Popyrin A.,FALSE,Popyrin A.,FALSE,0.6203473945409429,Safiullin R.,TRUE,0.5255588186203807,0,0.507098943340919,0,0.6203473945409429,1,-0.032856346716574135,1
1,Brisbane,Brisbane International,2024-01-05,ATP250,Outdoor,Hard,Quarterfinals,3,Safiullin R.,Arnaldi M.,39,44,1122,1021,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.42,3.13,1.44,3.2,1.39,2.96,21,2.332069802676077,0.30399163781707816,2.3498360223913037,0.3629210194487799,20.25,32.625,2.332069802676077,2.3498360223913037,0.30399163781707816,0.3629210194487799,0.48503211778255956,0.38544812772094506,1,Arnaldi M.,FALSE,Arnaldi M.,FALSE,0.7017543859649122,Safiullin R.,TRUE,0.5149678822174404,0,0.614551872279055,0,0.7017543859649122,1,-0.032856346716574135,1
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,17,2.0757566576823314,0.3180409756462317,2.602375847896327,0.44557179593504326,0,0,2.0757566576823314,2.602375847896327,0.3180409756462317,0.44557179593504326,0.16803057560593307,0.16803057560593304,1,Marozsan F.,FALSE,Marozsan F.,FALSE,0.586734693877551,Bautista Agut R.,TRUE,0.831969424394067,0,0.831969424394067,0,0.586734693877551,1,-0.032110218236161524,2
2,Hong Kong,Hong Kong Tennis Open,2024-01-04,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Cerundolo F.,57,21,886,1760,7,5,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.47,2.9,1.47,3.2,1.41,2.85,21,2.0757566576823314,0.3180409756462317,2.536391805686249,0.25561980631604914,9.5625,0,2.0757566576823314,2.536391805686249,0.3180409756462317,0.25561980631604914,0.12946699188096086,0.16817377213734547,1,Cerundolo F.,FALSE,Cerundolo F.,FALSE,0.6818181818181818,Bautista Agut R.,TRUE,0.8705330081190391,0,0.8318262278626545,0,0.6818181818181818,1,-0.032110218236161524,2
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,35,2.052191411763096,0.3370758468497788,2.165917210816834,0.27162367361289036,0,0,2.052191411763096,2.165917210816834,0.3370758468497788,0.27162367361289036,0.396387491513115,0.396387491513115,1,Etcheverry T.,FALSE,Etcheverry T.,FALSE,0.5483028720626633,Shevchenko A.,TRUE,0.6036125084868851,0,0.6036125084868851,0,0.5483028720626633,1,-0.03223830719371444,3
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,18,1.7307560312371726,0.28511459806493783,2.224879883049176,0.26516155875958075,0,0,1.7307560312371726,2.224879883049176,0.28511459806493783,0.26516155875958075,0.10220845223029561,0.10220845223029562,1,Mcdonald M.,FALSE,Mcdonald M.,FALSE,0.6368038740920097,Kecmanovic M.,TRUE,0.8977915477697044,0,0.8977915477697044,0,0.6368038740920097,1,-0.03223830719371444,3
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78,159,714,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.96,17,1.038730783804068,1.1280004094586056,1.4209593953066235,0.6758894087469761,0,0,1.038730783804068,1.4209593953066235,1.1280004094586056,0.6758894087469761,0.3856521315333171,0.3856521315333171,1,Seyboth Wild T.,FALSE,Seyboth Wild T.,FALSE,0.5483028720626633,Bolt A.,TRUE,0.6143478684666829,0,0.6143478684666829,0,0.5483028720626633,1,-0.03223830719371444,3
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,1096,782,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01,19,1.81475993543067,0.3227955248331629,2.1127203624360167,0.38968628573316433,0,0,1.81475993543067,2.1127203624360167,0.3227955248331629,0.38968628573316433,0.27798571538611644,0.27798571538611644,1,Hijikata R.,FALSE,Hijikata R.,FALSE,0.5263157894736842,Evans D.,TRUE,0.7220142846138835,0,0.7220142846138835,0,0.5263157894736842,1,-0.03223830719371444,3
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,21,2.076747979037094,0.2842272554578219,2.1759170469423625,0.3064559185639991,0,0,2.076747979037094,2.1759170469423625,0.2842272554578219,0.3064559185639991,0.4062265282800757,0.40622652828007566,1,Eubanks C.,FALSE,Eubanks C.,FALSE,0.6563245823389022,Van De Zandschulp B.,TRUE,0.5937734717199243,0,0.5937734717199243,0,0.6563245823389022,1,-0.03303024558874884,4
