ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,pred,ttt_correct,bookie_pred,bookie_correct
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,2.2482484442786475,0.30970548507117956,2.514616448583741,0.41706402560688927,2.2482484442786475,2.514616448583741,0.30970548507117956,0.41706402560688927,-0.512758523414914,Marozsan F.,FALSE,Fucsovics M.,TRUE
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,1.6159344661371493,0.33271233438195774,2.0502446231043256,0.3550541451854741,1.6159344661371493,2.0502446231043256,0.33271233438195774,0.3550541451854741,-0.8925754861428904,Ofner S.,FALSE,Munar J.,TRUE
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,2.4812803129121113,0.26700334590194186,2.5653810527555185,0.34558436574916784,2.4812803129121113,2.5653810527555185,0.26700334590194186,0.34558436574916784,-0.19257612699578075,Monfils G.,FALSE,Humbert U.,TRUE
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,1.4816287694416166,0.869065240730833,2.446518829246924,0.26941598861456384,1.4816287694416166,2.446518829246924,0.869065240730833,0.26941598861456384,-1.0604728363388727,Musetti L.,FALSE,Cazaux A.,TRUE
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Evans D.,87,49,695,996,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.51,2.75,1.53,2.8,1.48,2.65,1.5884757449879705,0.33142578420510166,1.745302984390806,0.2938910062219254,1.5884757449879705,1.745302984390806,0.33142578420510166,0.2938910062219254,-0.3540425207086511,Evans D.,FALSE,Nakashima B.,TRUE
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Bautista Agut R.,Safiullin R.,84,38,703,1139,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.76,2.17,1.76,2.3,1.67,2.21,2.024444252697962,0.2947072339879565,2.2048184632086185,0.2844439256619066,2.024444252697962,2.2048184632086185,0.2947072339879565,0.2844439256619066,-0.4403817648963678,Safiullin R.,FALSE,Bautista Agut R.,TRUE
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Nishioka Y.,73,71,770,788,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.25,4,1.3,3.85,1.3,4.05,1.27,3.74,1.6270289793235275,0.30838569483660244,2.060385285777442,0.2931298677806278,1.6270289793235275,2.060385285777442,0.30838569483660244,0.2931298677806278,-1.0185295101039191,Nishioka Y.,FALSE,Munar J.,TRUE
35,Halle,Halle Open,2024-06-19,ATP500,Outdoor,Grass,1st Round,3,Struff J.L.,Darderi L.,41,34,1080,1231,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.17,5,1.21,5.04,1.22,5.05,1.18,4.69,2.560598292232589,0.2973648533714592,2.613460302599822,0.5561242375453784,2.560598292232589,2.613460302599822,0.2973648533714592,0.5561242375453784,-0.08382351477880458,Darderi L.,FALSE,Struff J.L.,TRUE
36,Queens Club,Queen's Club Championships,2024-06-18,ATP500,Outdoor,Grass,1st Round,3,Korda S.,Khachanov K.,23,22,1775,1780,7,5,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.72,2.23,1.73,2.25,1.68,2.15,2.7782250066814935,0.28772709190741574,3.039860150568969,0.29087711195835003,2.7782250066814935,3.039860150568969,0.28772709190741574,0.29087711195835003,-0.6394742437003481,Khachanov K.,FALSE,Korda S.,TRUE
55,Tokyo,Japan Open Tennis Championships,2024-09-26,ATP500,Outdoor,Hard,1st Round,3,O Connell C.,Etcheverry T.,79,35,700,1370,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.83,2.08,1.83,2.11,1.76,2.03,1.9182906035747425,0.27299635201192635,2.2170889598902503,0.2556978131342369,1.9182906035747425,2.2170889598902503,0.27299635201192635,0.2556978131342369,-0.7988336308761412,Etcheverry T.,FALSE,O Connell C.,TRUE
