ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,pred,ttt_correct,bookie_pred,bookie_correct
19,Indian Wells,BNP Paribas Open,2024-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Eubanks C.,93,34,645,1234,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.48,2.82,1.53,2.82,1.48,2.67,1.5567124044394576,0.3339535460688586,2.055893663477287,0.29787100454085236,1.5567124044394576,2.055893663477287,0.3339535460688586,0.29787100454085236,-1.1155003880930312,Eubanks C.,FALSE,Nakashima B.,TRUE
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Machac T.,Wawrinka S.,63,70,868,797,7,6,4,6,6,2,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.55,2.6,1.55,2.63,1.52,2.54,2.025341936165339,0.5090574904160119,2.145329309721077,0.29222234926335655,2.025341936165339,2.145329309721077,0.5090574904160119,0.29222234926335655,-0.20441834278650886,Wawrinka S.,FALSE,Machac T.,TRUE
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Ofner S.,35,38,1194,1116,6,2,3,6,6,0,NA,NA,NA,NA,2,1,Completed,1.3,3.5,1.36,3.42,1.37,3.5,1.33,3.36,1.920441095229972,0.3214697877596322,1.957510841660405,0.34844330437241394,1.920441095229972,1.957510841660405,0.3214697877596322,0.34844330437241394,-0.07819237283605718,Ofner S.,FALSE,Coric B.,TRUE
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Seyboth Wild T.,Wolf J.J.,65,94,820,640,6,2,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.64,2.39,1.65,2.43,1.6,2.35,1.1611384200463644,0.5405439763993787,1.9121273447328264,0.2707070467529421,1.1611384200463644,1.9121273447328264,0.5405439763993787,0.2707070467529421,-1.242246005223542,Wolf J.J.,FALSE,Seyboth Wild T.,TRUE
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Kotov P.,39,67,1116,819,4,6,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.34,1.7,2.34,1.64,2.26,1.3857597706314095,0.5754391970887959,2.148274432687303,0.3435175202295553,1.3857597706314095,2.148274432687303,0.5754391970887959,0.3435175202295553,-1.1377843702060526,Kotov P.,FALSE,Tabilo A.,TRUE
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Van Assche L.,Kotov P.,80,67,736,823,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.67,2.31,1.75,2.36,1.66,2.21,1.2363610878112266,0.3757025733226659,2.063877750901899,0.3378440820362951,1.2363610878112266,2.063877750901899,0.3757025733226659,0.3378440820362951,-1.6377927905920557,Kotov P.,FALSE,Van Assche L.,TRUE
24,Monte Carlo,Monte Carlo Masters,2024-04-07,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Bublik A.,33,18,1204,1992,6,1,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.59,2.5,1.59,3.1,1.54,2.46,1.977929301497909,0.3168323919154003,2.1985986657066925,0.28251756087084706,1.977929301497909,2.1985986657066925,0.3168323919154003,0.28251756087084706,-0.5198354965642431,Bublik A.,FALSE,Coric B.,TRUE
24,Monte Carlo,Monte Carlo Masters,2024-04-08,Masters 1000,Outdoor,Clay,1st Round,3,Tabilo A.,O Connell C.,45,62,1051,886,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.57,2.38,1.58,2.52,1.6,2.75,1.55,2.44,1.80353455724868,0.5267603126677851,2.042375496830662,0.2948037842849859,1.80353455724868,2.042375496830662,0.5267603126677851,0.2948037842849859,-0.39566543241602803,O Connell C.,FALSE,Tabilo A.,TRUE
28,Madrid,Mutua Madrid Open,2024-04-24,Masters 1000,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Safiullin R.,63,42,849,1139,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.85,2.05,1.85,2.1,1.8,2,1.569543749917726,0.48173434630597745,2.1485524414335533,0.28105853375276807,1.569543749917726,2.1485524414335533,0.48173434630597745,0.28105853375276807,-1.0381537735124382,Safiullin R.,FALSE,Seyboth Wild T.,TRUE
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Machac T.,Ruusuvuori E.,50,71,1013,795,6,4,1,6,6,2,NA,NA,NA,NA,2,1,Completed,1.5,2.63,1.53,2.65,1.54,2.75,1.49,2.6,2.281963909402462,0.4763862778141113,2.291740693876569,0.28289027996999827,2.281963909402462,2.291740693876569,0.4763862778141113,0.28289027996999827,-0.017646050228930996,Ruusuvuori E.,FALSE,Machac T.,TRUE
28,Madrid,Mutua Madrid Open,2024-04-25,Masters 1000,Outdoor,Clay,1st Round,3,Kecmanovic M.,Zhang Zh.,66,49,830,1038,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.74,2.2,1.78,2.22,1.68,2.17,1.6668527385394811,0.26267276583937993,2.2048045924518136,0.29169139380271963,1.6668527385394811,2.2048045924518136,0.26267276583937993,0.29169139380271963,-1.3704685515483188,Zhang Zh.,FALSE,Kecmanovic M.,TRUE
