ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,TTT_Prob_W,pred,ttt_correct,bookie_pred,bookie_correct,Book_Prob_W,ELO_Prob_W,elo_pred,elo_correct,tournament_set,ATPk,y
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,722,1375,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,1.7062258122802625,0.6141794207618624,2.179906085935964,0.27087972935613763,1.7062258122802625,2.179906085935964,0.6141794207618624,0.27087972935613763,-0.7056567004319637,0.24020082709791957,Etcheverry T.,FALSE,Machac T.,TRUE,0.7017543859649122,0.4993183197117556,Etcheverry T.,FALSE,ATP250,1,1
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,2.020470928799248,0.3179727200236114,2.550095824817472,0.44558516403697346,2.020470928799248,2.550095824817472,0.3179727200236114,0.44558516403697346,-0.967518392215436,0.16664247570413337,Marozsan F.,FALSE,Bautista Agut R.,TRUE,0.586734693877551,0.4992378090963474,Marozsan F.,FALSE,ATP250,2,1
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,2.038584387923592,0.3411036072813259,2.1191030503535964,0.2717229254611085,2.038584387923592,2.1191030503535964,0.3411036072813259,0.2717229254611085,-0.18463260597355416,0.42675860486706746,Etcheverry T.,FALSE,Shevchenko A.,TRUE,0.5483028720626633,0.49988412433218754,Etcheverry T.,FALSE,ATP250,3,1
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,1.7004213103424834,0.28730978731841417,2.1676346115766822,0.2656290965727372,1.7004213103424834,2.1676346115766822,0.28730978731841417,0.2656290965727372,-1.194041647191868,0.11623083863317071,Mcdonald M.,FALSE,Kecmanovic M.,TRUE,0.6368038740920097,0.49932762641612594,Mcdonald M.,FALSE,ATP250,3,1
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78,159,714,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.96,0.9955251897850352,1.1298178649951929,1.359472036482529,0.6752768144026834,0.9955251897850352,1.359472036482529,1.1298178649951929,0.6752768144026834,-0.2765049723694068,0.3910801205339114,Seyboth Wild T.,FALSE,Bolt A.,TRUE,0.5483028720626633,0.49947623857667045,Seyboth Wild T.,FALSE,ATP250,3,1
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,1096,782,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01,1.7627464544838407,0.3224256980440587,2.011154668823909,0.4031744045689538,1.7627464544838407,2.011154668823909,0.3224256980440587,0.4031744045689538,-0.481183674081532,0.3151929815041322,Hijikata R.,FALSE,Evans D.,TRUE,0.5263157894736842,0.49964251190384196,Hijikata R.,FALSE,ATP250,3,1
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,2.069496835303494,0.28737367220415744,2.1137800689766637,0.3062567403253707,2.069496835303494,2.1137800689766637,0.28737367220415744,0.3062567403253707,-0.10544319926409672,0.45801206952103013,Eubanks C.,FALSE,Van De Zandschulp B.,TRUE,0.6563245823389022,0.4999362713042667,Eubanks C.,FALSE,ATP250,4,1
4,Auckland,ASB Classic,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Ofner S.,Shapovalov D.,37,116,1132,560,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.94,1.94,1.94,2.36,1.8,1.99,2.1524885909482867,0.3762647020194651,2.29576819211141,0.3903857973201929,2.1524885909482867,2.29576819211141,0.3762647020194651,0.3903857973201929,-0.26425808315673394,0.39579052864419456,Shapovalov D.,FALSE,Ofner S.,TRUE,0.5263157894736842,0.4997938040905838,Shapovalov D.,FALSE,ATP250,4,1
6,Montpellier,Open Sud de France,2024-01-30,ATP250,Indoor,Hard,1st Round,3,Cazaux A.,Marterer M.,83,92,696,636,6,1,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.4,3,1.4,3.18,1.41,3.2,1.38,2.99,0.8784882134436249,1.0264386735482929,1.8012197268403418,0.5170357301084038,0.8784882134436249,1.8012197268403418,1.0264386735482929,0.5170357301084038,-0.8028603406524869,0.21102773051380047,Marterer M.,FALSE,Cazaux A.,TRUE,0.6818181818181818,0.49867208572988847,Marterer M.,FALSE,ATP250,6,1
6,Montpellier,Open Sud de France,2024-01-31,ATP250,Indoor,Hard,1st Round,3,Lestienne C.,Zapata Miralles B.,106,80,584,715,4,6,6,4,6,2,NA,NA,NA,NA,2,1,Completed,1.25,4,1.33,3.6,1.33,4.05,1.25,3.81,0.5270730009299905,0.4462064104218289,1.4591953466051106,0.32668425385588684,0.5270730009299905,1.4591953466051106,0.4462064104218289,0.32668425385588684,-1.6855359350542907,0.0459426088742225,Zapata Miralles B.,FALSE,Lestienne C.,TRUE,0.7619047619047619,0.4986585713321759,Zapata Miralles B.,FALSE,ATP250,6,1
