ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,z_val,TTT_Prob_W,pred,ttt_correct,bookie_pred,bookie_correct,Book_Prob_W,ELO_Prob_W,elo_pred,elo_correct,tournament_set,ATPk,y
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,1.8235755331732035,0.31192152392396993,1.9494003990509163,0.34453062518448724,1.8235755331732035,1.9494003990509163,0.31192152392396993,0.34453062518448724,-0.2707342687635329,0.39329770904659767,Garin C.,FALSE,O Connell C.,TRUE,0.6563245823389022,0.49981892347010515,Garin C.,FALSE,Grandslams,5,1
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74,393,763,4,6,6,2,6,3,6,4,NA,NA,3,1,Completed,1.36,3.2,1.35,3.55,1.43,3.55,1.37,3.12,-1.7925332494738426,2.998045752957558,1.459817378349085,0.3317622676322892,-1.7925332494738426,1.459817378349085,2.998045752957558,0.3317622676322892,-1.0782418154314835,0.14046292773325292,Cachin P.,FALSE,De Jong J.,TRUE,0.7017543859649122,0.49531962791525497,Cachin P.,FALSE,Grandslams,5,1
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Purcell M.,Valkusz M.,45,214,1021,291,3,6,7,6,6,4,7,5,NA,NA,3,1,Completed,1.29,3.75,1.35,3.51,1.36,3.77,1.31,3.48,1.4357948377781682,0.37393621109738273,1.692188186015652,1.2962982553518094,1.4357948377781682,1.692188186015652,0.37393621109738273,1.2962982553518094,-0.1900400413575552,0.42463887688190194,Valkusz M.,FALSE,Purcell M.,TRUE,0.744047619047619,0.4996310203784836,Valkusz M.,FALSE,Grandslams,5,1
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Klein L.,Kwon S.W.,163,697,391,40,7,6,4,6,7,6,6,3,NA,NA,3,1,Completed,1.33,3.4,1.36,3.45,1.38,3.67,1.34,3.3,1.6100969806397925,1.2346230381458172,2.2703728771626484,0.597819276594467,1.6100969806397925,2.2703728771626484,1.2346230381458172,0.597819276594467,-0.4813404237450544,0.31513728569416666,Kwon S.W.,FALSE,Klein L.,TRUE,0.7188160676532769,0.49904978774606257,Kwon S.W.,FALSE,Grandslams,5,1
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Mcdonald M.,140,42,435,1055,6,3,1,6,3,6,6,4,6,2,3,2,Completed,1.67,2.2,1.77,2.18,1.77,2.29,1.71,2.15,1.623857491633045,0.5369237649069585,2.1140097628453085,0.26271358676857115,1.623857491633045,2.1140097628453085,0.5369237649069585,0.26271358676857115,-0.8199948663354242,0.2061095168699494,Mcdonald M.,FALSE,Shang J.,TRUE,0.5684754521963824,0.4992946146473515,Mcdonald M.,FALSE,Grandslams,5,1
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Martinez P.,Tirante T.A.,48,109,995,580,5,7,6,4,3,6,6,4,6,3,3,2,Completed,1.29,3.75,1.31,3.91,1.35,3.91,1.3,3.58,1.0851614661303617,0.4577905681145202,2.359627312757847,0.9214176774260158,1.0851614661303617,2.359627312757847,0.4577905681145202,0.9214176774260158,-1.238699029233925,0.10772848917391901,Tirante T.A.,FALSE,Martinez P.,TRUE,0.744047619047619,0.4981659044388838,Tirante T.A.,FALSE,Grandslams,32,1
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Altmaier D.,Djere L.,83,52,702,960,7,5,6,4,6,7,5,7,7,6,3,2,Completed,1.53,2.5,1.61,2.49,1.61,2.55,1.56,2.44,1.4399701089084638,0.2830045288221321,2.1702567398189787,0.26625025776696,1.4399701089084638,2.1702567398189787,0.2830045288221321,0.26625025776696,-1.8794576415452589,0.03009101604693991,Djere L.,FALSE,Altmaier D.,TRUE,0.6203473945409429,0.49894903460404827,Djere L.,FALSE,Grandslams,32,1
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Squire H.,Purcell M.,221,94,280,647,6,2,6,2,3,6,4,6,7,6,3,2,Completed,1.44,2.75,1.51,2.75,1.56,2.78,1.48,2.68,0,4,1.602729051528663,0.3237256422987246,0,1.602729051528663,4,0.3237256422987246,-0.39937646102134444,0.3448079178010773,Purcell M.,FALSE,Squire H.,TRUE,0.6563245823389022,0.4976935038468738,Purcell M.,FALSE,Grandslams,32,1
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Zverev A.,Nadal R.,4,275,6305,205,6,3,7,6,6,3,NA,NA,NA,NA,3,0,Completed,1.3,3.5,1.31,3.81,1.34,3.81,1.31,3.49,3.225800755458322,0.2389089506937036,3.23882093907722,0.9124183931215668,3.225800755458322,3.23882093907722,0.2389089506937036,0.9124183931215668,-0.013804587361300295,0.49449294134890764,Nadal R.,FALSE,Zverev A.,TRUE,0.7291666666666667,0.4999812624495657,Nadal R.,FALSE,Grandslams,32,1
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Bautista Agut R.,64,81,810,715,6,1,4,6,6,4,6,1,NA,NA,3,1,Completed,1.67,2.2,1.69,2.3,1.8,2.3,1.69,2.2,1.7098719388345651,0.2932961994149356,2.0608798399189343,0.2893498981131879,1.7098719388345651,2.0608798399189343,0.2932961994149356,0.2893498981131879,-0.851955845360728,0.19711929970695885,Bautista Agut R.,FALSE,Munar J.,TRUE,0.5684754521963824,0.4994948591965106,Bautista Agut R.,FALSE,Grandslams,32,1
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Zeppieri G.,Mannarino A.,148,22,420,1865,4,6,6,2,6,1,6,2,NA,NA,3,1,Completed,1.22,4.33,1.23,4.71,1.27,4.71,1.23,4.28,0.7717948484376144,0.7112070967288799,2.577042354164317,0.2533056532602317,0.7717948484376144,2.577042354164317,0.7112070967288799,0.2533056532602317,-2.3911521768378567,0.008397794871468994,Mannarino A.,FALSE,Zeppieri G.,TRUE,0.7801801801801801,0.4974020633818889,Mannarino A.,FALSE,Grandslams,32,1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Shapovalov D.,Jarry N.,121,20,530,1825,6,1,7,5,6,4,NA,NA,NA,NA,3,0,Completed,1.57,2.38,1.58,2.56,1.63,2.56,1.57,2.41,1.978838005227108,0.31629902176154173,2.635064696402545,0.2704996142857128,1.978838005227108,2.635064696402545,0.31629902176154173,0.2704996142857128,-1.576743323352286,0.057427298733535116,Jarry N.,FALSE,Shapovalov D.,TRUE,0.6025316455696202,0.49905561500006507,Jarry N.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Thompson J.,Kotov P.,40,53,1206,893,5,7,5,7,6,4,6,4,6,4,3,2,Completed,1.22,4.33,1.24,4.62,1.29,4.62,1.23,4.18,1.975615474404388,0.2777241933900432,2.0897421187724636,0.3123208226988648,1.975615474404388,2.0897421187724636,0.2777241933900432,0.3123208226988648,-0.27306852368401013,0.39240027099093144,Kotov P.,FALSE,Thompson J.,TRUE,0.7801801801801801,0.49983575856213514,Kotov P.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Berrettini M.,Fucsovics M.,59,70,845,785,7,6,6,2,3,6,6,1,NA,NA,3,1,Completed,1.17,5,1.21,5.11,1.21,5.32,1.18,4.9,2.1971980006999043,0.3912245907411124,2.231678285817309,0.29087818303136176,2.1971980006999043,2.231678285817309,0.3912245907411124,0.29087818303136176,-0.07072722047853633,0.47180742813657855,Fucsovics M.,FALSE,Berrettini M.,TRUE,0.8103727714748785,0.49995037888109195,Fucsovics M.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Baez S.,65,18,825,2020,6,2,6,3,6,4,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.17,5.92,1.18,6,1.16,5.37,1.6226918309881977,0.30537404111330263,2.06010173013402,0.2620134561320394,1.6226918309881977,2.06010173013402,0.30537404111330263,0.2620134561320394,-1.0870745801965254,0.13850192544169154,Baez S.,FALSE,Nakashima B.,TRUE,0.8283132530120482,0.49937051688676315,Baez S.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Harris L.,Michelsen A.,118,55,541,881,3,6,4,6,7,6,6,2,7,6,3,2,Completed,1.73,2.1,1.82,2.11,1.85,2.11,1.77,2.06,1.328942198172171,0.43728127706567016,1.722543444337275,0.37309725448232606,1.328942198172171,1.722543444337275,0.43728127706567016,0.37309725448232606,-0.6847398713253502,0.24675404213457253,Michelsen A.,FALSE,Harris L.,TRUE,0.5483028720626633,0.4994335625160709,Michelsen A.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Vukic A.,Ofner S.,69,45,789,1038,6,7,6,4,6,4,3,6,7,6,3,2,Completed,1.67,2.2,1.79,2.14,1.79,2.25,1.71,2.14,1.3603026319690934,0.2993549355163021,1.9600939074566184,0.3004933382648659,1.3603026319690934,1.9600939074566184,0.2993549355163021,0.3004933382648659,-1.414076635578451,0.07866970121195427,Ofner S.,FALSE,Vukic A.,TRUE,0.5684754521963824,0.49913683182633006,Ofner S.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Bublik A.,Mensik J.,23,78,1730,738,4,6,6,7,6,4,6,4,6,2,3,2,Completed,1.44,2.75,1.44,3.03,1.47,3.03,1.44,2.82,2.214907272319985,0.27922351938918444,2.888307345706529,0.6183123659430874,2.214907272319985,2.888307345706529,0.27922351938918444,0.6183123659430874,-0.992576560459496,0.16045817610953028,Mensik J.,FALSE,Bublik A.,TRUE,0.6563245823389022,0.4990309006068881,Mensik J.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-02,Grand Slam,Outdoor,Grass,1st Round,5,Fearnley J.,Moro Canas A.,277,188,206,321,7,5,6,4,7,6,NA,NA,NA,NA,3,0,Completed,1.5,2.63,1.49,2.84,1.55,2.84,1.48,2.67,-1.7608323764894058,3.063700004340868,4.014277733235321,2.427834777284145,-1.7608323764894058,4.014277733235321,3.063700004340868,2.427834777284145,-1.477370779966981,0.06978813717279861,Moro Canas A.,FALSE,Fearnley J.,TRUE,0.6368038740920097,0.49168971381684173,Moro Canas A.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-02,Grand Slam,Outdoor,Grass,1st Round,5,Walton A.,Coria F.,101,72,607,776,6,3,6,3,7,5,NA,NA,NA,NA,3,0,Completed,1.25,4,1.26,4.29,1.31,4.29,1.25,3.97,0.760175638582517,0.9288382108906912,1.3587215787476652,0.3704878906465556,0.760175638582517,1.3587215787476652,0.9288382108906912,0.3704878906465556,-0.5985454316632055,0.27473802710488493,Coria F.,FALSE,Walton A.,TRUE,0.7619047619047619,0.4991386240025932,Coria F.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-03,Grand Slam,Outdoor,Grass,1st Round,5,Safiullin R.,Cerundolo F.,44,30,1045,1315,6,7,3,6,7,5,6,3,6,4,3,2,Completed,1.73,2.1,1.76,2.19,1.78,2.19,1.73,2.1,1.9213074105800856,0.2689216231743676,2.451709641354166,0.25932348487167056,1.9213074105800856,2.451709641354166,0.2689216231743676,0.25932348487167056,-1.419754251888243,0.07783961887856782,Cerundolo F.,FALSE,Safiullin R.,TRUE,0.5483028720626633,0.49923669042431246,Cerundolo F.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-03,Grand Slam,Outdoor,Grass,1st Round,5,Pouille L.,Djere L.,212,51,284,936,3,6,7,6,3,6,6,3,6,1,3,2,Completed,1.5,2.63,1.55,2.59,1.57,2.65,1.52,2.53,1.1622063080362086,0.8461173696741464,2.065728044923749,0.26422772937736033,1.1622063080362086,2.065728044923749,0.8461173696741464,0.26422772937736033,-1.0192992154378004,0.15403046817664423,Djere L.,FALSE,Pouille L.,TRUE,0.6368038740920097,0.49869973062957074,Djere L.,FALSE,Grandslams,39,1
39,London,Wimbledon,2024-07-03,Grand Slam,Outdoor,Grass,1st Round,5,Rinderknech A.,Nishikori K.,76,401,754,118,5,7,6,4,6,7,6,3,6,2,3,2,Completed,1.36,3.2,1.39,3.26,1.41,3.26,1.37,3.11,1.181865708477294,0.30856884127594,2.1662469566306464,0.8847387603907864,1.181865708477294,2.1662469566306464,0.30856884127594,0.8847387603907864,-1.0505619390870253,0.1467299147252948,Nishikori K.,FALSE,Rinderknech A.,TRUE,0.7017543859649122,0.49858336529826874,Nishikori K.,FALSE,Grandslams,39,1
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Bublik A.,72,27,754,1650,6,4,3,6,5,7,6,3,6,4,3,2,Completed,1.67,2.2,1.71,2.27,1.74,2.33,1.67,2.2,2.0841781547524247,0.3996604624067643,2.219443544210494,0.2753723920111392,2.0841781547524247,2.219443544210494,0.3996604624067643,0.2753723920111392,-0.2787002466038726,0.390237436622608,Bublik A.,FALSE,Shang J.,TRUE,0.5684754521963824,0.4998053374664827,Bublik A.,FALSE,Grandslams,51,1
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Popyrin A.,Kwon S.W.,28,340,1635,145,7,5,6,2,6,3,NA,NA,NA,NA,3,0,Completed,1.1,7,1.12,7.54,1.14,7.65,1.11,6.62,2.006144881709597,0.2619918480938758,2.0289827602573367,0.4835046130270703,2.006144881709597,2.0289827602573367,0.2619918480938758,0.4835046130270703,-0.04152915181449122,0.4834370265539244,Kwon S.W.,FALSE,Popyrin A.,TRUE,0.8641975308641975,0.49996713365086004,Kwon S.W.,FALSE,Grandslams,51,1
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Rinderknech A.,Eubanks C.,56,106,915,545,6,4,4,6,3,6,6,3,7,6,3,2,Completed,1.67,2.2,1.67,2.35,1.71,2.35,1.67,2.22,1.4592931508525715,0.2903925650291074,1.7507140472239355,0.27536325959290464,1.4592931508525715,1.7507140472239355,0.2903925650291074,0.27536325959290464,-0.7282046822366898,0.23324415003822022,Eubanks C.,FALSE,Rinderknech A.,TRUE,0.5684754521963824,0.49958061171599577,Eubanks C.,FALSE,Grandslams,51,1
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Darderi L.,23,37,1800,1291,6,4,6,7,6,0,7,6,NA,NA,3,1,Completed,1.73,2.1,1.71,2.27,1.74,2.27,1.7,2.17,2.0677626299493057,0.25707105521724277,2.5314251539031707,0.46027943268856936,2.0677626299493057,2.5314251539031707,0.25707105521724277,0.46027943268856936,-0.8794767680570431,0.18957141208564024,Darderi L.,FALSE,Baez S.,TRUE,0.5483028720626633,0.4993327363862267,Darderi L.,FALSE,Grandslams,51,1
51,New York,US Open,2024-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Machac T.,Fognini F.,39,71,1224,759,7,5,6,1,6,3,NA,NA,NA,NA,3,0,Completed,1.2,4.5,1.24,4.54,1.26,4.54,1.23,4.24,2.1533462820117815,0.38367165742288295,2.2338012822932933,0.3660095191699499,2.1533462820117815,2.2338012822932933,0.38367165742288295,0.3660095191699499,-0.15172981823672949,0.43970001895091065,Fognini F.,FALSE,Machac T.,TRUE,0.7894736842105263,0.49988421594937893,Fognini F.,FALSE,Grandslams,51,1
51,New York,US Open,2024-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Bergs Z.,Kotov P.,80,60,697,864,6,2,4,6,6,2,3,6,7,6,3,2,Completed,1.8,2,1.75,2.21,1.8,2.21,1.75,2.09,1.1931929247352902,0.4872269705528315,2.0453625665295374,0.3014732768187297,1.1931929247352902,2.0453625665295374,0.4872269705528315,0.3014732768187297,-1.4873265200615033,0.06846429674116945,Kotov P.,FALSE,Bergs Z.,TRUE,0.5263157894736842,0.4987736317630657,Kotov P.,FALSE,Grandslams,51,1
51,New York,US Open,2024-08-28,Grand Slam,Outdoor,Hard,1st Round,5,Bellucci M.,Wawrinka S.,101,176,555,333,6,4,7,6,6,3,NA,NA,NA,NA,3,0,Completed,1.4,3,1.4,3.2,1.47,3.2,1.39,3,1.5196143426970967,0.8446196578351991,2.02665814366007,0.2787865377288215,1.5196143426970967,2.02665814366007,0.8446196578351991,0.2787865377288215,-0.5700705488195008,0.28431492470741926,Wawrinka S.,FALSE,Bellucci M.,TRUE,0.6818181818181818,0.4992703058320432,Wawrinka S.,FALSE,Grandslams,51,1
