ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,GamesMatch,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,Fatigue_W,Fatigue_L,mu_winner,mu_loser,sigma_winner,sigma_loser,p_ttt_win,p_adj_win,pred,ttt_correct,pred_fat,ttt_fat_correct,bookie_pred,bookie_correct,theta_used
1,Brisbane,Brisbane International,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Machac T.,Etcheverry T.,78,30,722,1375,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.36,3.2,1.4,3.17,1.41,3.2,1.37,3.02,38,1.756554916430497,0.614244255982866,2.231331215866904,0.27090090890146074,0,0,1.756554916430497,2.231331215866904,0.614244255982866,0.27090090890146074,0.23971551299250335,0.23971551299250338,Etcheverry T.,FALSE,Etcheverry T.,FALSE,Machac T.,TRUE,-0.03285634671657416
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,17,2.072868492922485,0.31798868297955324,2.6018502866913176,0.44560748414405155,0,0,2.072868492922485,2.6018502866913176,0.31798868297955324,0.44560748414405155,0.16694826011319733,0.16694826011319733,Marozsan F.,FALSE,Marozsan F.,FALSE,Bautista Agut R.,TRUE,-0.033345246750588795
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,35,2.089075112171924,0.3411263176055645,2.170456651117656,0.2717427823872447,0,0,2.089075112171924,2.170456651117656,0.3411263176055645,0.2717427823872447,0.4259877908453591,0.4259877908453591,Etcheverry T.,FALSE,Etcheverry T.,FALSE,Shevchenko A.,TRUE,-0.033759020041686565
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,18,1.7512551639731309,0.28734460637403575,2.218985673112509,0.26564654102983193,0,0,1.7512551639731309,2.218985673112509,0.28734460637403575,0.26564654102983193,0.11599484314048918,0.11599484314048915,Mcdonald M.,FALSE,Mcdonald M.,FALSE,Kecmanovic M.,TRUE,-0.033759020041686565
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Bolt A.,Seyboth Wild T.,325,78,159,714,6,3,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.93,1.96,1.93,2.1,1.83,1.96,17,1.0430013093145885,1.1300501882052816,1.4092578538924831,0.6754063445434468,0,0,1.0430013093145885,1.4092578538924831,1.1300501882052816,0.6754063445434468,0.3904280561654232,0.3904280561654232,Seyboth Wild T.,FALSE,Seyboth Wild T.,FALSE,Bolt A.,TRUE,-0.033759020041686565
3,Adelaide,Adelaide International,2024-01-09,ATP250,Outdoor,Hard,1st Round,3,Evans D.,Hijikata R.,40,70,1096,782,6,3,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.83,2.07,1.83,2.07,1.78,2.01,19,1.8139676172820818,0.32244329710760156,2.0619789676819598,0.4031946386194707,0,0,1.8139676172820818,2.0619789676819598,0.32244329710760156,0.4031946386194707,0.3154750559266556,0.3154750559266556,Hijikata R.,FALSE,Hijikata R.,FALSE,Evans D.,TRUE,-0.033759020041686565
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,21,2.119839896825528,0.2873801621899457,2.1640513670008366,0.306271620766234,0,0,2.119839896825528,2.1640513670008366,0.2873801621899457,0.306271620766234,0.45808138288399547,0.4580813828839954,Eubanks C.,FALSE,Eubanks C.,FALSE,Van De Zandschulp B.,TRUE,-0.034285241312851066
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,50,1.8733563873245678,0.3119467906065384,1.999230127444882,0.3445612750013921,8.4375,0,1.8733563873245678,1.999230127444882,0.3119467906065384,0.3445612750013921,0.39326615788041897,0.464464770738148,Garin C.,FALSE,Garin C.,FALSE,O Connell C.,TRUE,-0.03451527366273416
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,De Jong J.,Cachin P.,161,74,393,763,4,6,6,2,6,3,6,4,NA,NA,3,1,Completed,1.36,3.2,1.35,3.55,1.43,3.55,1.37,3.12,37,-1.7702744284011769,3.005844748774308,1.5097198093513307,0.3317799101994995,0,0,-1.7702744284011769,1.5097198093513307,3.005844748774308,0.3317799101994995,0.1390453672883096,0.1390453672883096,Cachin P.,FALSE,Cachin P.,FALSE,De Jong J.,TRUE,-0.03451527366273416
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Purcell M.,Valkusz M.,45,214,1021,291,3,6,7,6,6,4,7,5,NA,NA,3,1,Completed,1.29,3.75,1.35,3.51,1.36,3.77,1.31,3.48,44,1.4850747239758777,0.37395949805191164,1.7370249717082533,1.2963545735145539,0,0,1.4850747239758777,1.7370249717082533,0.37395949805191164,1.2963545735145539,0.4259328695421766,0.4259328695421766,Valkusz M.,FALSE,Valkusz M.,FALSE,Purcell M.,TRUE,-0.03451527366273416
