Date,ATP,Tournament,Round,Surface,Court,Winner,Loser,B365W,B365L,mu_winner,mu_loser,sigma_winner,sigma_loser,TTT_Prob_W,TTT_Prob_L,TTT_Pct_W,TTT_Pct_L,pred,ttt_correct,bookie_pred,bookie_correct,bet365_right_ttt_wrong,ATPk
2024-02-13,12,ABN AMRO World Tennis Tournament,1st Round,Hard,Indoor,Fucsovics M.,Marozsan F.,1.67,2.2,2.8977176251153813,3.067982021186809,0.19770415147313566,0.2749807146334477,0.307575094411506,0.692424905588494,30.76,69.24,Marozsan F.,FALSE,Fucsovics M.,TRUE,TRUE,12
2024-02-20,15,Rio Open,1st Round,Clay,Outdoor,Munar J.,Ofner S.,1.67,2.2,2.1131095941952536,2.5410286188971347,0.21632682511622767,0.23156880223601647,0.08845082445354158,0.9115491755464584,8.85,91.15,Ofner S.,FALSE,Munar J.,TRUE,TRUE,15
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Lehecka J.,Fucsovics M.,1.62,2.3,2.950267720195122,2.964205742886901,0.175740822401406,0.20220791947393119,0.4792539621752074,0.5207460378247926,47.93,52.07,Fucsovics M.,FALSE,Lehecka J.,TRUE,TRUE,17
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Humbert U.,Monfils G.,1.53,2.5,3.006422711699255,3.377215419100962,0.1779790795556772,0.24390191489952548,0.10971315028109142,0.8902868497189086,10.97,89.03,Monfils G.,FALSE,Humbert U.,TRUE,TRUE,17
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,Cazaux A.,Musetti L.,1.44,2.75,-3.26057647862815,2.967032368369789,2.1352876501391687,0.1791836694775631,0.0018286238809947916,0.9981713761190052,0.18,99.82,Musetti L.,FALSE,Cazaux A.,TRUE,TRUE,17
2024-02-27,17,Dubai Tennis Championships,1st Round,Hard,Outdoor,O Connell C.,Marterer M.,1.67,2.2,2.2748987171929573,2.580466322325106,0.1973100335213504,0.30819712497625357,0.20185699346883126,0.7981430065311688,20.19,79.81,Marterer M.,FALSE,O Connell C.,TRUE,TRUE,17
2024-04-15,25,Barcelona Open,1st Round,Clay,Outdoor,Nakashima B.,Evans D.,1.5,2.63,2.1898000315413064,2.4069096665277567,0.21033699768320174,0.20659590097654826,0.23074537115428564,0.7692546288457144,23.07,76.93,Evans D.,FALSE,Nakashima B.,TRUE,TRUE,25
2024-04-15,25,Barcelona Open,1st Round,Clay,Outdoor,Bautista Agut R.,Safiullin R.,1.67,2.2,2.554625141135453,2.874715131161006,0.20100915487711535,0.1918911192505839,0.12469576480175813,0.8753042351982419,12.47,87.53,Safiullin R.,FALSE,Bautista Agut R.,TRUE,TRUE,25
2024-04-16,25,Barcelona Open,1st Round,Clay,Outdoor,Munar J.,Nishioka Y.,1.25,4,2.212229226382907,2.610437359178961,0.2208812026808533,0.19771556844394902,0.08959132751495996,0.91040867248504,8.96,91.04,Nishioka Y.,FALSE,Munar J.,TRUE,TRUE,25
2024-06-18,36,Queen's Club Championships,1st Round,Grass,Outdoor,Korda S.,Khachanov K.,1.67,2.2,3.425199712975404,3.599003875880671,0.18922208943884988,0.18698664630399622,0.256768855201875,0.743231144798125,25.68,74.32,Khachanov K.,FALSE,Korda S.,TRUE,TRUE,36
2024-06-18,36,Queen's Club Championships,1st Round,Grass,Outdoor,Nakashima B.,Evans D.,1.53,2.5,2.283297054755436,2.3267883179445588,0.22006280475122408,0.20680867077024354,0.44274393123554756,0.5572560687644524,44.27,55.73,Evans D.,FALSE,Nakashima B.,TRUE,TRUE,36
2024-09-26,55,Japan Open Tennis Championships,1st Round,Hard,Outdoor,O Connell C.,Etcheverry T.,1.73,2.1,2.3605391434654215,2.741656639844956,0.19805372899595222,0.1723620446554171,0.07330859967024009,0.9266914003297599,7.33,92.67,Etcheverry T.,FALSE,O Connell C.,TRUE,TRUE,55
2024-10-22,60,Swiss Indoors,1st Round,Hard,Indoor,Van De Zandschulp B.,Bublik A.,1.67,2.2,2.5356902432535433,2.792566208540084,0.20467294187816107,0.20053689905588093,0.18500084190158378,0.8149991580984162,18.5,81.5,Bublik A.,FALSE,Van De Zandschulp B.,TRUE,TRUE,60
2024-10-22,61,Vienna Open,1st Round,Hard,Indoor,Kecmanovic M.,Navone M.,1.29,3.75,2.08652093849478,2.2501849827324043,0.20654214251164318,0.9586434227609283,0.43372635125986564,0.5662736487401343,43.37,56.63,Navone M.,FALSE,Kecmanovic M.,TRUE,TRUE,61
2024-10-23,61,Vienna Open,1st Round,Hard,Indoor,Machac T.,Marozsan F.,1.3,3.5,2.3392745875994625,2.9559603120476896,0.3381094154664807,0.2668152324703696,0.07610062260693783,0.9238993773930622,7.61,92.39,Marozsan F.,FALSE,Machac T.,TRUE,TRUE,61
