Date,ATP,Tournament,Round,Surface,Court,Winner,Loser,B365W,B365L,mu_winner,mu_loser,sigma_winner,sigma_loser,TTT_Prob_W,TTT_Prob_L,TTT_Pct_W,TTT_Pct_L,pred,ttt_correct,bookie_pred,bookie_correct,bet365_right_ttt_wrong,ATPk
2024-01-14,5,Australian Open,1st Round,Hard,Outdoor,O Connell C.,Garin C.,1.44,2.75,1.7815650059561805,1.9715905372725808,0.3156027417680269,0.3449964807986868,0.3422224003712506,0.6577775996287494,34.22,65.78,Garin C.,FALSE,O Connell C.,TRUE,TRUE,5
2024-05-26,32,French Open,1st Round,Clay,Outdoor,Altmaier D.,Djere L.,1.53,2.5,1.5396986579020513,2.250899012578124,0.32997909281468346,0.2711734138816829,0.047941064019453215,0.9520589359805468,4.79,95.21,Djere L.,FALSE,Altmaier D.,TRUE,TRUE,32
2024-05-27,32,French Open,1st Round,Clay,Outdoor,Shevchenko A.,Karatsev A.,1.57,2.38,1.9770573256969721,2.266584763269261,0.3357080704648905,0.303140858554113,0.2610561197129144,0.7389438802870856,26.11,73.89,Karatsev A.,FALSE,Shevchenko A.,TRUE,TRUE,32
2024-05-28,32,French Open,1st Round,Clay,Outdoor,Munar J.,Bautista Agut R.,1.67,2.2,1.698901210451481,1.9883924452012736,0.3446842260233171,0.31754588315984994,0.26838677834743074,0.7316132216525693,26.84,73.16,Bautista Agut R.,FALSE,Munar J.,TRUE,TRUE,32
2024-05-28,32,French Open,1st Round,Clay,Outdoor,Darderi L.,Hijikata R.,1.06,10,0.9786884728961408,1.8491065565481923,1.1541118390190013,0.4069386064413551,0.2384587790917728,0.7615412209082272,23.85,76.15,Hijikata R.,FALSE,Darderi L.,TRUE,TRUE,32
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Struff J.L.,Marozsan F.,1.25,4,2.5296644079280948,2.572188074134816,0.31551357763218313,0.4451749442438101,0.46894079324868,0.53105920675132,46.89,53.11,Marozsan F.,FALSE,Struff J.L.,TRUE,TRUE,39
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Thompson J.,Kotov P.,1.22,4.33,2.0244953086660353,2.2227750324007385,0.30502979025677535,0.36044530000080705,0.3372739317361797,0.6627260682638203,33.73,66.27,Kotov P.,FALSE,Thompson J.,TRUE,TRUE,39
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Berrettini M.,Fucsovics M.,1.17,5,2.2336278157390925,2.2971019278320832,0.4337233049006162,0.31798786969670245,0.4530239986666379,0.5469760013333621,45.3,54.7,Fucsovics M.,FALSE,Berrettini M.,TRUE,TRUE,39
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Nakashima B.,Baez S.,1.14,5.5,1.6085216905651547,2.0971056182434142,0.33475747688291235,0.27015619205974034,0.12802212976279967,0.8719778702372003,12.8,87.2,Baez S.,FALSE,Nakashima B.,TRUE,TRUE,39
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Vukic A.,Ofner S.,1.67,2.2,1.3510520838449116,2.0309326222779522,0.36820156576892477,0.3776105241922901,0.09868319798222455,0.9013168020177754,9.87,90.13,Ofner S.,FALSE,Vukic A.,TRUE,TRUE,39
2024-07-01,39,Wimbledon,1st Round,Grass,Outdoor,Bublik A.,Mensik J.,1.44,2.75,2.2038400382307457,2.994248101108134,0.2870056675418839,1.1988970174881177,0.26070828840680316,0.7392917115931968,26.07,73.93,Mensik J.,FALSE,Bublik A.,TRUE,TRUE,39
2024-07-03,39,Wimbledon,1st Round,Grass,Outdoor,Safiullin R.,Cerundolo F.,1.73,2.1,2.175535673535893,2.529332670434245,0.3078094282404098,0.267101422632582,0.19266274551178939,0.8073372544882106,19.27,80.73,Cerundolo F.,FALSE,Safiullin R.,TRUE,TRUE,39
2024-07-03,39,Wimbledon,1st Round,Grass,Outdoor,Tabilo A.,Evans D.,1.44,2.75,1.2855510663096161,1.7020116815001118,0.7444334643868377,0.32742594581647577,0.30429434999666183,0.6957056500033382,30.43,69.57,Evans D.,FALSE,Tabilo A.,TRUE,TRUE,39
2024-08-26,51,US Open,1st Round,Hard,Outdoor,Shang J.,Bublik A.,1.67,2.2,1.4093077268174887,2.2689692284561414,0.5705198657688191,0.2979416638315885,0.09083326713640973,0.9091667328635903,9.08,90.92,Bublik A.,FALSE,Shang J.,TRUE,TRUE,51
2024-08-27,51,US Open,1st Round,Hard,Outdoor,Borges N.,Coria F.,1.11,6.5,0.9572909051159773,1.0719279469046703,0.43266362699402633,0.45758132161729564,0.4277767246985068,0.5722232753014932,42.78,57.22,Coria F.,FALSE,Borges N.,TRUE,TRUE,51
2024-08-27,51,US Open,1st Round,Hard,Outdoor,Bergs Z.,Kotov P.,1.8,2,0.536592825383919,2.1418421138946315,0.7218263851514816,0.3549166976521962,0.022984454836499076,0.977015545163501,2.3,97.7,Kotov P.,FALSE,Bergs Z.,TRUE,TRUE,51
