ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,2,0.3681834189399526,0.266443147655067,0.38325979391278,0.4228687360919982,0.3681834189399526,0.38325979391278,0.266443147655067,0.4228687360919982,0.4998098827518158,-0.03016421942243519,0.4879680421513162,0.5120319578486838,Marozsan F.,FALSE,Fucsovics M.,TRUE,12,ATP500
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Korda S.,11,33,2970,1245,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.51,2.72,1.53,2.75,1.5,2.54,2,0.5678524307322148,0.21763664023504173,0.8317501832622171,0.2616277656302345,0.5678524307322148,0.8317501832622171,0.21763664023504173,0.2616277656302345,0.3403157282898719,-0.7754497679437876,0.2190369684009822,0.7809630315990178,Korda S.,FALSE,De Minaur A.,TRUE,12,ATP500
15,Rio de Janeiro,Rio Open,2024-02-20,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Ofner S.,73,37,776,1091,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.81,2.1,1.81,2.22,1.72,2.09,2,-0.09080039945463408,0.3751647611747498,0.06920531855681415,0.33250803037232163,-0.09080039945463408,0.06920531855681415,0.3751647611747498,0.33250803037232163,0.5013084761794755,-0.31917616719922354,0.374796464184621,0.625203535815379,Ofner S.,FALSE,Munar J.,TRUE,15,ATP500
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Lehecka J.,Fucsovics M.,36,77,1180,757,6,4,3,6,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.74,2.2,1.74,2.32,1.67,2.16,1,0.4263500554414904,0.2432621633224484,0.4323103978677939,0.25987230192170824,0.4263500554414904,0.4323103978677939,0.2432621633224484,0.25987230192170824,0.3559636124808335,-0.016744246370475377,0.49332032430069256,0.5066796756993075,Fucsovics M.,FALSE,Lehecka J.,TRUE,17,ATP500
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Monfils G.,18,54,1990,937,4,6,6,3,6,3,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.51,2.72,1.58,2.72,1.51,2.5,1,0.4059826453679167,0.24163121179642225,0.5841675071196543,0.5674767612516339,0.4059826453679167,0.5841675071196543,0.24163121179642225,0.5674767612516339,0.616778337066771,-0.28889610909348085,0.3863304406665206,0.6136695593334793,Monfils G.,FALSE,Humbert U.,TRUE,17,ATP500
17,Dubai,Dubai Tennis Championships,2024-02-27,ATP500,Outdoor,Hard,1st Round,3,Cazaux A.,Musetti L.,86,26,701,1480,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.5,2.78,1.5,2.9,1.43,2.75,2,0.021180431003261,1.5326845561848297,0.45394665513581217,0.24413243616876745,0.021180431003261,0.45394665513581217,1.5326845561848297,0.24413243616876745,1.5520059906962942,-0.27884314024998985,0.39018260290675316,0.6098173970932468,Musetti L.,FALSE,Cazaux A.,TRUE,17,ATP500
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Nakashima B.,Evans D.,87,49,695,996,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.51,2.75,1.53,2.8,1.48,2.65,2,-0.06754437779777096,0.29125642407880475,0.23076662990308727,0.25303143226050917,-0.06754437779777096,0.23076662990308727,0.29125642407880475,0.25303143226050917,0.3858175867932632,-0.7731918344632263,0.21970442896938172,0.7802955710306183,Evans D.,FALSE,Nakashima B.,TRUE,25,ATP500
25,Barcelona,Barcelona Open,2024-04-15,ATP500,Outdoor,Clay,1st Round,3,Bautista Agut R.,Safiullin R.,84,38,703,1139,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.76,2.17,1.76,2.3,1.67,2.21,2,0.23358043790998073,0.25470293023438717,0.539119827912334,0.2758239672883574,0.23358043790998073,0.539119827912334,0.25470293023438717,0.2758239672883574,0.3754363376135453,-0.8138247670550732,0.207872672267614,0.792127327732386,Safiullin R.,FALSE,Bautista Agut R.,TRUE,25,ATP500
25,Barcelona,Barcelona Open,2024-04-16,ATP500,Outdoor,Clay,1st Round,3,Munar J.,Nishioka Y.,73,71,770,788,6,3,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.25,4,1.3,3.85,1.3,4.05,1.27,3.74,2,-0.0311615992632777,0.3367216452484237,0.08049839293613549,0.25040274971465976,-0.0311615992632777,0.08049839293613549,0.3367216452484237,0.25040274971465976,0.4196224534548501,-0.2660963236835643,0.3950825131209131,0.604917486879087,Nishioka Y.,FALSE,Munar J.,TRUE,25,ATP500
35,Halle,Halle Open,2024-06-19,ATP500,Outdoor,Grass,1st Round,3,Struff J.L.,Darderi L.,41,34,1080,1231,6,7,7,5,7,6,NA,NA,NA,NA,2,1,Completed,1.17,5,1.21,5.04,1.22,5.05,1.18,4.69,1,0.5432633430709626,0.2640348584008512,1.413652682863181,0.8134782892496684,0.5432633430709626,1.413652682863181,0.2640348584008512,0.8134782892496684,0.855255127743368,-1.0176955525408924,0.15441133075088012,0.8455886692491199,Darderi L.,FALSE,Struff J.L.,TRUE,35,ATP500
