ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Bautista Agut R.,Marozsan F.,57,64,886,805,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.62,2.3,1.64,2.39,1.7,2.39,1.63,2.24,2,0.27214064437435287,0.2695523465760276,0.4634170893526572,0.4583922014581024,0.27214064437435287,0.4634170893526572,0.2695523465760276,0.4583922014581024,0.5317723929485701,-0.35969607959096034,0.3595372120613167,0.6404627879386833,Marozsan F.,FALSE,Bautista Agut R.,TRUE,2,All_2024_R1
2,Hong Kong,Hong Kong Tennis Open,2024-01-02,ATP250,Outdoor,Hard,1st Round,3,Fils A.,Gojo B.,36,72,1158,744,6,3,4,6,6,1,NA,NA,NA,NA,2,1,Completed,1.53,2.5,1.6,2.47,1.6,2.51,1.54,2.42,1,0.21254842319544803,0.34409276353382556,0.5262923306627022,0.7074364701683427,0.21254842319544803,0.5262923306627022,0.34409276353382556,0.7074364701683427,0.786680487390268,-0.39881999426230524,0.34501292174037523,0.6549870782596248,Gojo B.,FALSE,Fils A.,TRUE,2,All_2024_R1
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Shevchenko A.,Etcheverry T.,48,30,961,1375,7,6,4,6,7,5,NA,NA,NA,NA,2,1,Completed,1.73,2.1,1.75,2.19,1.75,2.25,1.69,2.15,1,0.288590973786176,0.3008208425451825,0.2922305886420893,0.2341593822291103,0.288590973786176,0.2922305886420893,0.3008208425451825,0.2341593822291103,0.3812135826482473,-0.009547442750148903,0.49619117928200146,0.5038088207179985,Etcheverry T.,FALSE,Shevchenko A.,TRUE,3,All_2024_R1
3,Adelaide,Adelaide International,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Kecmanovic M.,Mcdonald M.,55,42,910,1055,6,4,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.53,1.57,2.63,1.54,2.43,2,0.09684689896540424,0.26802515243033703,0.2808631387225365,0.2362846876787768,0.09684689896540424,0.2808631387225365,0.26802515243033703,0.2362846876787768,0.3573065014336606,-0.5150094919034034,0.30327319358281407,0.6967268064171859,Mcdonald M.,FALSE,Kecmanovic M.,TRUE,3,All_2024_R1
4,Auckland,ASB Classic,2024-01-07,ATP250,Outdoor,Hard,1st Round,3,Daniel T.,Vukic A.,74,63,739,835,7,5,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.74,2.21,1.84,2.6,1.72,2.1,2,-0.3696764703719575,0.5226169947658188,0.03190079846002549,0.3370743495626465,-0.3696764703719575,0.03190079846002549,0.5226169947658188,0.3370743495626465,0.6218903764741316,-0.6457364256201625,0.2592250331464454,0.7407749668535546,Vukic A.,FALSE,Daniel T.,TRUE,4,All_2024_R1
4,Auckland,ASB Classic,2024-01-08,ATP250,Outdoor,Hard,1st Round,3,Van De Zandschulp B.,Eubanks C.,59,34,865,1235,7,6,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.44,2.75,1.44,2.98,1.46,3.1,1.41,2.83,2,0.2034440544282981,0.2538935534971526,0.33234770818146736,0.33805552056279753,0.2034440544282981,0.33234770818146736,0.2538935534971526,0.33805552056279753,0.42278064228438306,-0.30489488131876746,0.3802231071938991,0.6197768928061009,Eubanks C.,FALSE,Van De Zandschulp B.,TRUE,4,All_2024_R1
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,1,0.0581816467533307,0.2720573816072581,0.33289056661588445,0.32526388841070286,0.0581816467533307,0.33289056661588445,0.2720573816072581,0.32526388841070286,0.42404223373509325,-0.6478338665534181,0.25854620423464225,0.7414537957653577,Garin C.,FALSE,O Connell C.,TRUE,5,All_2024_R1
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Sonego L.,Evans D.,46,38,1005,1121,4,6,7,6,6,2,7,6,NA,NA,3,1,Completed,1.8,2,1.85,2.07,1.88,2.07,1.8,2.01,2,0.2848287522579346,0.22873636304437991,0.29728795712875583,0.27908696740698424,0.2848287522579346,0.29728795712875583,0.22873636304437991,0.27908696740698424,0.36084603247811586,-0.03452775907014264,0.4862281535019543,0.5137718464980456,Evans D.,FALSE,Sonego L.,TRUE,5,All_2024_R1
8,Dallas,Dallas Open,2024-02-07,ATP250,Indoor,Hard,1st Round,3,Koepfer D.,Kovacevic A.,60,100,868,616,6,4,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.43,3.05,1.43,3.25,1.35,3.09,2,-0.3184802800403666,0.5894149523624386,NA,NA,-0.3184802800403666,0,0.5894149523624386,4,4.0431930433839565,-0.0787694964408165,0.46860798347527965,0.5313920165247203,Kovacevic A.,FALSE,Koepfer D.,TRUE,8,All_2024_R1
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,Fucsovics M.,Marozsan F.,86,61,682,896,7,6,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.67,2.2,1.68,2.31,1.68,2.31,1.64,2.22,2,0.3681834189399526,0.266443147655067,0.38325979391278,0.4228687360919982,0.3681834189399526,0.38325979391278,0.266443147655067,0.4228687360919982,0.4998098827518158,-0.03016421942243519,0.4879680421513162,0.5120319578486838,Marozsan F.,FALSE,Fucsovics M.,TRUE,12,All_2024_R1
12,Rotterdam,ABN AMRO World Tennis Tournament,2024-02-13,ATP500,Indoor,Hard,1st Round,3,De Minaur A.,Korda S.,11,33,2970,1245,6,4,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.51,2.72,1.53,2.75,1.5,2.54,2,0.5678524307322148,0.21763664023504173,0.8317501832622171,0.2616277656302345,0.5678524307322148,0.8317501832622171,0.21763664023504173,0.2616277656302345,0.3403157282898719,-0.7754497679437876,0.2190369684009822,0.7809630315990178,Korda S.,FALSE,De Minaur A.,TRUE,12,All_2024_R1
14,Los Cabos,Los Cabos Open,2024-02-21,ATP250,Outdoor,Hard,1st Round,3,Nishioka Y.,Cobolli F.,84,69,700,825,6,1,6,0,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.93,1.96,1.93,2.01,1.85,1.93,2,0.05241067442694914,0.2586588586199949,0.7373302780076085,0.8554031032733358,0.05241067442694914,0.7373302780076085,0.2586588586199949,0.8554031032733358,0.8936547847084196,-0.7664252632006373,0.22171165279646668,0.7782883472035333,Cobolli F.,FALSE,Nishioka Y.,TRUE,14,All_2024_R1
