ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
5,Melbourne,Australian Open,2024-01-14,Grand Slam,Outdoor,Hard,1st Round,5,O Connell C.,Garin C.,68,86,814,680,3,6,7,5,4,6,6,1,7,5,3,2,Completed,1.44,2.75,1.43,3.08,1.48,3.16,1.41,2.95,1,0.0581816467533307,0.2720573816072581,0.33289056661588445,0.32526388841070286,0.0581816467533307,0.33289056661588445,0.2720573816072581,0.32526388841070286,0.42404223373509325,-0.6478338665534181,0.25854620423464225,0.7414537957653577,Garin C.,FALSE,O Connell C.,TRUE,5,Grandslams
5,Melbourne,Australian Open,2024-01-16,Grand Slam,Outdoor,Hard,1st Round,5,Sonego L.,Evans D.,46,38,1005,1121,4,6,7,6,6,2,7,6,NA,NA,3,1,Completed,1.8,2,1.85,2.07,1.88,2.07,1.8,2.01,2,0.2848287522579346,0.22873636304437991,0.29728795712875583,0.27908696740698424,0.2848287522579346,0.29728795712875583,0.22873636304437991,0.27908696740698424,0.36084603247811586,-0.03452775907014264,0.4862281535019543,0.5137718464980456,Evans D.,FALSE,Sonego L.,TRUE,5,Grandslams
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Muller A.,Nardi L.,90,72,670,748,6,4,6,1,6,3,NA,NA,NA,NA,3,0,Completed,1.53,2.5,1.6,2.52,1.62,2.54,1.56,2.44,3,-0.5198995090923635,0.441406645478832,0.1643953659561994,0.8294616202799423,-0.5198995090923635,0.1643953659561994,0.441406645478832,0.8294616202799423,0.9395990667248997,-0.7282839024455035,0.23321990715691007,0.7667800928430899,Nardi L.,FALSE,Muller A.,TRUE,32,Grandslams
32,Paris,French Open,2024-05-26,Grand Slam,Outdoor,Clay,1st Round,5,Altmaier D.,Djere L.,83,52,702,960,7,5,6,4,6,7,5,7,7,6,3,2,Completed,1.53,2.5,1.61,2.49,1.61,2.55,1.56,2.44,1,-0.10298505047666023,0.25825201158875766,0.4620440187313283,0.25036884768624995,-0.10298505047666023,0.4620440187313283,0.25825201158875766,0.25036884768624995,0.3596924538843989,-1.570867175850129,0.05810675219997877,0.9418932478000213,Djere L.,FALSE,Altmaier D.,TRUE,32,Grandslams
32,Paris,French Open,2024-05-27,Grand Slam,Outdoor,Clay,1st Round,5,Lajovic D.,Safiullin R.,61,42,831,1087,4,6,7,5,6,4,6,7,6,4,3,2,Completed,1.62,2.3,1.67,2.35,1.68,2.35,1.64,2.29,1,0.4016404102127956,0.2449520344238997,0.416951634118833,0.26403540786037616,0.4016404102127956,0.416951634118833,0.2449520344238997,0.26403540786037616,0.360161346860546,-0.04251212418962294,0.483045223391605,0.5169547766083951,Safiullin R.,FALSE,Lajovic D.,TRUE,32,Grandslams
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Etcheverry T.,Cazaux A.,29,77,1550,725,3,6,6,2,6,1,6,4,NA,NA,3,1,Completed,1.2,4.5,1.22,4.85,1.23,4.85,1.2,4.54,2,0.369205898794067,0.22991561669144572,0.8762753210455203,1.0154779002834646,0.369205898794067,0.8762753210455203,0.22991561669144572,1.0154779002834646,1.0411803670655349,-0.4870140066899062,0.3131242024824751,0.6868757975175249,Cazaux A.,FALSE,Etcheverry T.,TRUE,32,Grandslams
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Munar J.,Bautista Agut R.,64,81,810,715,6,1,4,6,6,4,6,1,NA,NA,3,1,Completed,1.67,2.2,1.69,2.3,1.8,2.3,1.69,2.2,2,0.07301537245808512,0.30671665820456245,0.25936430246957465,0.24820682744184233,0.07301537245808512,0.25936430246957465,0.30671665820456245,0.24820682744184233,0.3945652513956581,-0.47228925849991904,0.31836016817277163,0.6816398318272283,Bautista Agut R.,FALSE,Munar J.,TRUE,32,Grandslams
32,Paris,French Open,2024-05-28,Grand Slam,Outdoor,Clay,1st Round,5,Rinderknech A.,Walton A.,69,96,772,635,6,2,6,4,7,5,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.19,5.48,1.19,5.5,1.17,5.13,3,-0.1943152600508538,0.3091361785586975,NA,NA,-0.1943152600508538,0,0.3091361785586975,4,4.011927862872645,-0.0484343853360611,0.4806850279582098,0.5193149720417902,Walton A.,FALSE,Rinderknech A.,TRUE,32,Grandslams
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Nakashima B.,Baez S.,65,18,825,2020,6,2,6,3,6,4,NA,NA,NA,NA,3,0,Completed,1.14,5.5,1.17,5.92,1.18,6,1.16,5.37,3,-0.01519048020979702,0.278920143979742,0.16066389931979438,0.24910631084510856,-0.01519048020979702,0.16066389931979438,0.278920143979742,0.24910631084510856,0.37396577493206495,-0.4702419079968944,0.31909109803293745,0.6809089019670626,Baez S.,FALSE,Nakashima B.,TRUE,39,Grandslams
39,London,Wimbledon,2024-07-01,Grand Slam,Outdoor,Grass,1st Round,5,Sonego L.,Navone M.,54,32,881,1282,6,4,7,6,6,4,NA,NA,NA,NA,3,0,Completed,1.07,9,1.09,9.33,1.09,9.95,1.08,8.29,3,0.3029181488415426,0.21804174515420988,1.0004256340950517,0.837234219405153,0.3029181488415426,1.0004256340950517,0.21804174515420988,0.837234219405153,0.8651608756600412,-0.8062170919615066,0.21005884259231608,0.7899411574076839,Navone M.,FALSE,Sonego L.,TRUE,39,Grandslams
39,London,Wimbledon,2024-07-03,Grand Slam,Outdoor,Grass,1st Round,5,Safiullin R.,Cerundolo F.,44,30,1045,1315,6,7,3,6,7,5,6,3,6,4,3,2,Completed,1.73,2.1,1.76,2.19,1.78,2.19,1.73,2.1,1,0.3685543902004112,0.25441592127226803,0.4908209756799846,0.23576690255746943,0.3685543902004112,0.4908209756799846,0.25441592127226803,0.23576690255746943,0.34686235503202156,-0.3524930961974413,0.36223424754764244,0.6377657524523576,Cerundolo F.,FALSE,Safiullin R.,TRUE,39,Grandslams
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Shang J.,Bublik A.,72,27,754,1650,6,4,3,6,5,7,6,3,6,4,3,2,Completed,1.67,2.2,1.71,2.27,1.74,2.33,1.67,2.2,1,NA,NA,0.313061176150247,0.25804267872985337,0,0.313061176150247,4,0.25804267872985337,4.0083146114103965,-0.0781029451278753,0.4688730822399301,0.5311269177600699,Bublik A.,FALSE,Shang J.,TRUE,51,Grandslams
51,New York,US Open,2024-08-26,Grand Slam,Outdoor,Hard,1st Round,5,Baez S.,Darderi L.,23,37,1800,1291,6,4,6,7,6,0,7,6,NA,NA,3,1,Completed,1.73,2.1,1.71,2.27,1.74,2.27,1.7,2.17,2,0.12610928389705184,0.24298027632198463,0.7336825526965579,0.5277718449631001,0.12610928389705184,0.7336825526965579,0.24298027632198463,0.5277718449631001,0.581018532421525,-1.0457037682899861,0.1478489112371256,0.8521510887628744,Darderi L.,FALSE,Baez S.,TRUE,51,Grandslams
51,New York,US Open,2024-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Bergs Z.,Kotov P.,80,60,697,864,6,2,4,6,6,2,3,6,7,6,3,2,Completed,1.8,2,1.75,2.21,1.8,2.21,1.75,2.09,1,-0.49587134588676,1.02176385716599,0.27767588518902786,0.3793804639422715,-0.49587134588676,0.27767588518902786,1.02176385716599,0.3793804639422715,1.0899224358787072,-0.7097268627672075,0.23893676530942365,0.7610632346905764,Kotov P.,FALSE,Bergs Z.,TRUE,51,Grandslams
