ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,margin,mu_generic_w,sigma_generic_w,mu_generic_l,sigma_generic_l,mu_winner,mu_loser,sigma_winner,sigma_loser,denom,z_val,TTT_Prob_W,TTT_Prob_L,pred,ttt_correct,bookie_pred,bookie_correct,ATPk,tournament_set
19,Indian Wells,BNP Paribas Open,2024-03-06,Masters 1000,Outdoor,Hard,1st Round,3,Nakashima B.,Eubanks C.,93,34,645,1234,6,3,7,6,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.48,2.82,1.53,2.82,1.48,2.67,2,-0.1285596614250238,0.29175159277088114,0.3388460088502284,0.32106449663571507,-0.1285596614250238,0.3388460088502284,0.29175159277088114,0.32106449663571507,0.4338218561625165,-1.0774138361995176,0.14064771276008103,0.859352287239919,Eubanks C.,FALSE,Nakashima B.,TRUE,19,Masters1000
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Coric B.,Ofner S.,35,38,1194,1116,6,2,3,6,6,0,NA,NA,NA,NA,2,1,Completed,1.3,3.5,1.36,3.42,1.37,3.5,1.33,3.36,1,-0.0756974889549231,0.28614413214139944,2.3236257023591728e-4,0.32603561064101233,-0.0756974889549231,2.3236257023591728e-4,0.28614413214139944,0.32603561064101233,0.4337945179056698,-0.17503644788261302,0.4305254971935321,0.5694745028064678,Ofner S.,FALSE,Coric B.,TRUE,19,Masters1000
19,Indian Wells,BNP Paribas Open,2024-03-07,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Munar J.,80,75,754,776,6,2,6,3,NA,NA,NA,NA,NA,NA,2,0,Completed,1.36,3.2,1.41,3.1,1.44,3.2,1.39,2.98,2,-0.06310788514180024,0.8268895290989617,-0.01155987655599643,0.3638918390377277,-0.06310788514180024,-0.01155987655599643,0.8268895290989617,0.3638918390377277,0.9034177128282145,-0.05705888633114027,0.47724914349570485,0.5227508565042951,Munar J.,FALSE,Michelsen A.,TRUE,19,Masters1000
19,Indian Wells,BNP Paribas Open,2024-03-08,Masters 1000,Outdoor,Hard,1st Round,3,Tabilo A.,Kotov P.,39,67,1116,819,4,6,6,3,7,5,NA,NA,NA,NA,2,1,Completed,1.62,2.3,1.66,2.34,1.7,2.34,1.64,2.26,1,0.4424153930911997,0.8765362088492794,0.5074637478058885,0.5089314615773755,0.4424153930911997,0.5074637478058885,0.8765362088492794,0.5089314615773755,1.0135713877212356,-0.06417737862641719,0.47441449474821873,0.5255855052517813,Kotov P.,FALSE,Tabilo A.,TRUE,19,Masters1000
20,Miami,Miami Open,2024-03-20,Masters 1000,Outdoor,Hard,1st Round,3,Van Assche L.,Kotov P.,80,67,736,823,6,3,7,5,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.67,2.31,1.75,2.36,1.66,2.21,2,-0.05445604189380418,0.3253854634560005,0.4665877758719681,0.48743478102501125,-0.05445604189380418,0.4665877758719681,0.3253854634560005,0.48743478102501125,0.586061742123965,-0.889059599552499,0.18698552495402693,0.8130144750459731,Kotov P.,FALSE,Van Assche L.,TRUE,20,Masters1000
20,Miami,Miami Open,2024-03-21,Masters 1000,Outdoor,Hard,1st Round,3,Popyrin A.,Diaz Acosta F.,45,55,1032,943,6,2,6,2,NA,NA,NA,NA,NA,NA,2,0,Completed,1.5,2.63,1.57,2.5,1.58,2.63,1.54,2.49,2,0.33309601367571673,0.2873909995434194,0.3832507654173545,0.5451721687733002,0.33309601367571673,0.3832507654173545,0.2873909995434194,0.5451721687733002,0.6162842527791453,-0.081382497630702,0.46756888390181806,0.532431116098182,Diaz Acosta F.,FALSE,Popyrin A.,TRUE,20,Masters1000
24,Monte Carlo,Monte Carlo Masters,2024-04-07,Masters 1000,Outdoor,Clay,1st Round,3,Coric B.,Bublik A.,33,18,1204,1992,6,1,6,1,NA,NA,NA,NA,NA,NA,2,0,Completed,1.53,2.5,1.59,2.5,1.59,3.1,1.54,2.46,2,-0.05669831909640453,0.28135601297348256,0.3638122802075383,0.2595551096464793,-0.05669831909640453,0.3638122802075383,0.28135601297348256,0.2595551096464793,0.3827924515712534,-1.0985341993497189,0.13598564627211693,0.864014353727883,Bublik A.,FALSE,Coric B.,TRUE,24,Masters1000
24,Monte Carlo,Monte Carlo Masters,2024-04-08,Masters 1000,Outdoor,Clay,1st Round,3,Ofner S.,Evans D.,44,50,1056,996,6,1,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.81,2.1,1.83,2.1,1.78,2.03,2,-0.02131002017299356,0.3189741997955755,0.2691861202899077,0.25576782579560037,-0.02131002017299356,0.2691861202899077,0.3189741997955755,0.25576782579560037,0.4088541559620451,-0.710512871709365,0.2386930758980477,0.7613069241019523,Evans D.,FALSE,Ofner S.,TRUE,24,Masters1000
24,Monte Carlo,Monte Carlo Masters,2024-04-09,Masters 1000,Outdoor,Clay,1st Round,3,Bautista Agut R.,Diaz Acosta F.,90,53,668,943,6,2,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.8,2,1.91,1.98,1.91,2.1,1.82,1.97,2,0.1967453743162628,0.257895576713916,0.23343805835138848,0.5106425829670813,0.1967453743162628,0.23343805835138848,0.257895576713916,0.5106425829670813,0.5720716528791615,-0.06414001436787896,0.47442937028282944,0.5255706297171705,Diaz Acosta F.,FALSE,Bautista Agut R.,TRUE,24,Masters1000
28,Madrid,Mutua Madrid Open,2024-04-24,Masters 1000,Outdoor,Clay,1st Round,3,Seyboth Wild T.,Safiullin R.,63,42,849,1139,6,4,6,4,NA,NA,NA,NA,NA,NA,2,0,Completed,1.73,2.1,1.85,2.05,1.85,2.1,1.8,2,2,0.46414805348950144,0.569954161742339,0.48846926020940823,0.2712012675697015,0.46414805348950144,0.48846926020940823,0.569954161742339,0.2712012675697015,0.63118766941285,-0.038532449061514644,0.48463158003866375,0.5153684199613362,Safiullin R.,FALSE,Seyboth Wild T.,TRUE,28,Masters1000
