gap_days,alpha,n_matches,ttt_acc_injadj,ttt_acc_original,book_acc,inj_rate,n_inj,ttt_acc_inj_only,book_acc_inj_only
10,0,1132,61.31,61.31,68.37,83.83,949,62.8,70.5
10,0.1,1132,61.4,61.31,68.37,83.83,949,62.91,70.5
10,0.2,1132,61.48,61.31,68.37,83.83,949,63.01,70.5
10,0.30000000000000004,1132,61.4,61.31,68.37,83.83,949,62.91,70.5
10,0.4,1132,61.48,61.31,68.37,83.83,949,63.01,70.5
10,0.5,1132,61.22,61.31,68.37,83.83,949,62.7,70.5
10,0.6000000000000001,1132,61.13,61.31,68.37,83.83,949,62.59,70.5
10,0.7000000000000001,1132,61.22,61.31,68.37,83.83,949,62.7,70.5
10,0.8,1132,61.4,61.31,68.37,83.83,949,62.91,70.5
10,0.9,1132,61.66,61.31,68.37,83.83,949,63.22,70.5
12,0,1132,61.31,61.31,68.37,82.6,935,62.89,70.37
12,0.1,1132,61.48,61.31,68.37,82.6,935,63.1,70.37
12,0.2,1132,61.57,61.31,68.37,82.6,935,63.21,70.37
12,0.30000000000000004,1132,61.48,61.31,68.37,82.6,935,63.1,70.37
12,0.4,1132,61.66,61.31,68.37,82.6,935,63.32,70.37
12,0.5,1132,61.31,61.31,68.37,82.6,935,62.89,70.37
12,0.6000000000000001,1132,61.13,61.31,68.37,82.6,935,62.67,70.37
12,0.7000000000000001,1132,61.31,61.31,68.37,82.6,935,62.89,70.37
12,0.8,1132,61.4,61.31,68.37,82.6,935,62.99,70.37
12,0.9,1132,61.66,61.31,68.37,82.6,935,63.32,70.37
14,0,1132,61.31,61.31,68.37,71.82,813,62.36,70.73
14,0.1,1132,61.66,61.31,68.37,71.82,813,62.85,70.73
14,0.2,1132,62.1,61.31,68.37,71.82,813,63.47,70.73
14,0.30000000000000004,1132,62.19,61.31,68.37,71.82,813,63.59,70.73
14,0.4,1132,62.63,61.31,68.37,71.82,813,64.21,70.73
14,0.5,1132,62.46,61.31,68.37,71.82,813,63.96,70.73
14,0.6000000000000001,1132,62.28,61.31,68.37,71.82,813,63.71,70.73
14,0.7000000000000001,1132,62.28,61.31,68.37,71.82,813,63.71,70.73
14,0.8,1132,62.46,61.31,68.37,71.82,813,63.96,70.73
14,0.9,1132,62.72,61.31,68.37,71.82,813,64.33,70.73
16,0,1132,61.31,61.31,68.37,64.58,731,63.06,71.27
16,0.1,1132,61.48,61.31,68.37,64.58,731,63.34,71.27
16,0.2,1132,61.75,61.31,68.37,64.58,731,63.75,71.27
16,0.30000000000000004,1132,61.93,61.31,68.37,64.58,731,64.02,71.27
