window_days,delta,transform,fat_mode,alpha_sigma,acc_ttt,acc_ttt_fat,acc_book,brier_ttt,brier_ttt_fat,brier_book,logloss_ttt,logloss_ttt_fat,logloss_book
4,0.9,linear,logit_shift,0,65.18,65.18,68.15,0.2703,0.2713,0.2011,1.0911,1.089,0.5849
4,0.9,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.238,0.2011,1.0911,0.7403,0.5849
4,0.9,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2349,0.2011,1.0911,0.7224,0.5849
4,0.9,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2332,0.2011,1.0911,0.7129,0.5849
4,0.9,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2323,0.2011,1.0911,0.7079,0.5849
4,0.9,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2319,0.2011,1.0911,0.7046,0.5849
4,0.9,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2325,0.2011,1.0911,0.7043,0.5849
4,0.95,linear,logit_shift,0,65.18,65.12,68.15,0.2703,0.2712,0.2011,1.0911,1.0893,0.5849
4,0.95,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2366,0.2011,1.0911,0.7322,0.5849
4,0.95,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2339,0.2011,1.0911,0.717,0.5849
4,0.95,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2326,0.2011,1.0911,0.7095,0.5849
4,0.95,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2321,0.2011,1.0911,0.7059,0.5849
4,0.95,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2321,0.2011,1.0911,0.7041,0.5849
4,0.95,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2331,0.2011,1.0911,0.7054,0.5849
4,1,linear,logit_shift,0,65.18,65.12,68.15,0.2703,0.2712,0.2011,1.0911,1.0895,0.5849
4,1,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2354,0.2011,1.0911,0.7257,0.5849
4,1,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2332,0.2011,1.0911,0.713,0.5849
4,1,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2323,0.2011,1.0911,0.7073,0.5849
4,1,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2321,0.2011,1.0911,0.7049,0.5849
4,1,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2325,0.2011,1.0911,0.7045,0.5849
4,1,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2339,0.2011,1.0911,0.7069,0.5849
5,0.9,linear,logit_shift,0,65.18,65.18,68.15,0.2703,0.2706,0.2011,1.0911,1.0893,0.5849
5,0.9,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2354,0.2011,1.0911,0.7273,0.5849
5,0.9,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2324,0.2011,1.0911,0.7103,0.5849
5,0.9,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2308,0.2011,1.0911,0.7014,0.5849
5,0.9,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2301,0.2011,1.0911,0.6969,0.5849
5,0.9,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2299,0.2011,1.0911,0.6941,0.5849
5,0.9,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2306,0.2011,1.0911,0.6944,0.5849
5,0.95,linear,logit_shift,0,65.18,65.18,68.15,0.2703,0.2705,0.2011,1.0911,1.0896,0.5849
5,0.95,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2338,0.2011,1.0911,0.7189,0.5849
5,0.95,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2313,0.2011,1.0911,0.7048,0.5849
5,0.95,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2302,0.2011,1.0911,0.6981,0.5849
5,0.95,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2299,0.2011,1.0911,0.6951,0.5849
5,0.95,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2301,0.2011,1.0911,0.694,0.5849
5,0.95,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2314,0.2011,1.0911,0.6958,0.5849
5,1,linear,logit_shift,0,65.18,65.06,68.15,0.2703,0.2704,0.2011,1.0911,1.0899,0.5849
5,1,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2326,0.2011,1.0911,0.7123,0.5849
5,1,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2306,0.2011,1.0911,0.701,0.5849
5,1,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.23,0.2011,1.0911,0.6963,0.5849
5,1,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.23,0.2011,1.0911,0.6946,0.5849
5,1,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2307,0.2011,1.0911,0.6949,0.5849
5,1,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2323,0.2011,1.0911,0.6979,0.5849
7,0.9,linear,logit_shift,0,65.18,65.06,68.15,0.2703,0.2705,0.2011,1.0911,1.0908,0.5849
7,0.9,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2323,0.2011,1.0911,0.6993,0.5849
7,0.9,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2297,0.2011,1.0911,0.6829,0.5849
7,0.9,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.2285,0.2011,1.0911,0.6747,0.5849
7,0.9,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2281,0.2011,1.0911,0.6705,0.5849
7,0.9,linear,sigma_inflate,0.15,65.18,65.18,68.15,0.2703,0.2282,0.2011,1.0911,0.6682,0.5849
7,0.9,linear,sigma_inflate,0.2,65.18,65.18,68.15,0.2703,0.2294,0.2011,1.0911,0.6688,0.5849
7,0.95,linear,logit_shift,0,65.18,64.88,68.15,0.2703,0.2704,0.2011,1.0911,1.0913,0.5849
7,0.95,linear,sigma_inflate,0.06,65.18,65.18,68.15,0.2703,0.2306,0.2011,1.0911,0.6884,0.5849
7,0.95,linear,sigma_inflate,0.08,65.18,65.18,68.15,0.2703,0.2287,0.2011,1.0911,0.6758,0.5849
7,0.95,linear,sigma_inflate,0.1,65.18,65.18,68.15,0.2703,0.228,0.2011,1.0911,0.6702,0.5849
7,0.95,linear,sigma_inflate,0.12,65.18,65.18,68.15,0.2703,0.2281,0.2011,1.0911,0.668,0.5849
