days_window,alpha,kappa,n_matches,ttt_acc,book_acc,inj_rate,n_inj,ttt_acc_inj,book_acc_inj
90,0,0,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0,0.5,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
60,0,0,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0,0.5,1132,62.4558,68.3746,3.9753,45,60,62.2222
30,0,0,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0,0.5,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
90,0.5,0,1132,62.2792,68.3746,5.8304,66,59.0909,68.1818
90,0.5,0.5,1132,62.2792,68.3746,5.8304,66,59.0909,68.1818
60,0.5,0,1132,62.2792,68.3746,3.9753,45,55.5556,62.2222
60,0.5,0.5,1132,62.2792,68.3746,3.9753,45,55.5556,62.2222
60,1,0,1132,62.1908,68.3746,3.9753,45,53.3333,62.2222
60,1,0.5,1132,62.1908,68.3746,3.9753,45,53.3333,62.2222
30,0.5,0,1132,62.1908,68.3746,1.8551,21,38.0952,57.1429
30,1,0,1132,62.1908,68.3746,1.8551,21,38.0952,57.1429
30,0.5,0.5,1132,62.1908,68.3746,1.8551,21,38.0952,57.1429
30,1,0.5,1132,62.1908,68.3746,1.8551,21,38.0952,57.1429
90,1,0,1132,62.1025,68.3746,5.8304,66,56.0606,68.1818
90,1,0.5,1132,62.1025,68.3746,5.8304,66,56.0606,68.1818
