days_window,lambda,kappa,n_matches,ttt_acc,book_acc,inj_rate,n_inj,ttt_acc_inj,book_acc_inj
90,0.25,0,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.5,0,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.75,0,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.25,0.25,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.5,0.25,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.75,0.25,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.25,0.5,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.5,0.5,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.75,0.5,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.25,0.75,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.5,0.75,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.75,0.75,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.25,1,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.5,1,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
90,0.75,1,1132,62.4558,68.3746,5.8304,66,62.1212,68.1818
60,0.25,0,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.5,0,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.75,0,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.25,0.25,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.5,0.25,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.75,0.25,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.25,0.5,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.5,0.5,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.75,0.5,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.25,0.75,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.5,0.75,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.75,0.75,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.25,1,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.5,1,1132,62.4558,68.3746,3.9753,45,60,62.2222
60,0.75,1,1132,62.4558,68.3746,3.9753,45,60,62.2222
14,0.25,0,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.5,0,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.75,0,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.25,0.25,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.5,0.25,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.75,0.25,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.25,0.5,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.5,0.5,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.75,0.5,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.25,0.75,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.5,0.75,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.75,0.75,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.25,1,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.5,1,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
14,0.75,1,1132,62.4558,68.3746,0.7951,9,55.5556,55.5556
45,0.25,0,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.5,0,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.75,0,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.25,0.25,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.5,0.25,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.75,0.25,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.25,0.5,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.5,0.5,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.75,0.5,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.25,0.75,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.5,0.75,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.75,0.75,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.25,1,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.5,1,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
45,0.75,1,1132,62.4558,68.3746,2.5618,29,55.1724,55.1724
30,0.25,0,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.5,0,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.75,0,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.25,0.25,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.5,0.25,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.75,0.25,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.25,0.5,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.5,0.5,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.75,0.5,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.25,0.75,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.5,0.75,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.75,0.75,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.25,1,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.5,1,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
30,0.75,1,1132,62.4558,68.3746,1.8551,21,52.381,57.1429
7,0.25,0,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.5,0,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.75,0,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.25,0.25,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.5,0.25,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.75,0.25,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.25,0.5,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.5,0.5,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.75,0.5,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.25,0.75,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.5,0.75,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.75,0.75,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.25,1,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.5,1,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
7,0.75,1,1132,62.4558,68.3746,0.265,3,33.3333,33.3333
