player,mu_generic,sigma_generic,ATP
Giron M.,1.8758453103605606,0.27303027771806115,1
Mcdonald M.,2.2088315149569615,0.2647822010844957,1
Kecmanovic M.,1.6609198249925596,0.287819816580417,1
Nishioka Y.,2.1126125655446253,0.30600523695606746,1
Popyrin A.,2.30735870227427,0.28916269011995227,1
Halys Q.,2.0242806128912836,0.34731925986285817,1
Safiullin R.,2.2805390522615854,0.30397839346802313,1
Draper J.,2.892665078368264,0.3757007901631586,1
Kokkinakis T.,2.328210115401892,0.3639166938050459,1
Medvedev D.,4.0329829045878425,0.24597383687248647,1
Khachanov K.,2.999121684630983,0.2880809085182654,1
Djokovic N.,4.895671564627639,0.34345816672817653,1
Sinner J.,3.8638242488930423,0.24568928203037452,1
Shapovalov D.,2.282513061532552,0.3913000254623833,1
Bautista Agut R.,2.0331157999839604,0.31772878420694745,1
Korda S.,2.805407824444766,0.2954743985613345,1
Bonzi B.,1.9574603773949002,0.3712157936953026,1
Carballes Baena R.,1.4863512931133933,0.31511075458910714,1
Mmoh M.,2.1638156086182265,0.41725603349385537,1
Griekspoor T.,2.710315629870994,0.2683666639629336,1
Djere L.,2.256712256322829,0.27127149458402655,1
Cecchinato M.,1.464524897893829,0.37599860615940994,1
Krajinovic F.,0.7595028597757557,0.6011340498290926,1
Van Rijthoven T.,0.5769179958052068,1.1418696945360862,1
Marterer M.,2.036999526696036,0.542601070208273,1
Martinez P.,0.7738356802998844,0.563594958221624,1
Karatsev A.,2.2607339482648787,0.30289440368989173,1
Cobolli F.,1.2865758071818918,0.7159305839825607,1
Van De Zandschulp B.,2.0286301566453293,0.2871282366438732,1
Cilic M.,0.9591910045300308,1.1385879947178599,1
Davidovich Fokina A.,2.559847378653023,0.27232138096538994,1
Paul T.,2.756007458712219,0.2497428916530796,1
Millman J.,1.8356477678908967,1.1052271492867343,1
Haase R.,1.8270507199981927,1.2662448264227733,1
Huesler M.A.,0.39063145624900775,0.4170256641294368,1
Kwon S.W.,2.2551093069496435,0.6005104687229208,1
Ymer M.,1.6304273908449776,0.38476843676307615,1
Kubler J.,1.5336054475388343,0.3893511972574984,1
Lestienne C.,0.5349051166678402,0.4492713482565588,1
Goffin D.,1.4616700785356154,0.45426764428436883,1
Brooksby J.,2.989364314745182,0.750831762021059,1
Gasquet R.,1.28972286135408,0.3379073978484154,1
Wolf J.J.,2.1021662732651407,0.2761236266692592,1
Barrere G.,1.8469537188477854,0.2990859983655686,1
Eubanks C.,2.1142335458429815,0.3063869311656704,1
Lehecka J.,2.488005022233134,0.26867256309830223,1
Shelton B.,2.379052652211874,0.2742329949937714,1
Norrie C.,2.494293553953353,0.28090693279784207,1
Moutet C.,0.6528505334390703,0.4742212084088625,1
Watanuki Y.,1.6748550348900553,0.48613474241196386,1
Etcheverry T.,2.179906085935964,0.27087972935613763,1
Cerundolo F.,2.4909753519872826,0.25561978411731223,1
Shang J.,1.3960439447934783,0.5716541392688451,1
Hurkacz H.,3.141287441714442,0.2589880585916475,1
Tiafoe F.,2.7215172767628077,0.2759629081562439,1
Nadal R.,2.3323885812814025,1.2120693625628642,1
Daniel T.,1.6123131076500565,0.3850684004215061,1
Sonego L.,2.223854371734751,0.27082145866508783,1
Svrcina D.,1.321601757298715,1.0811899812221035,1
Fucsovics M.,2.354063718273962,0.31360227218437225,1
Molcan A.,1.8779190481635921,0.3637657121544187,1
Hijikata R.,1.9100613643383433,0.412204003583386,1
Auger-Aliassime F.,2.3253864692953696,0.30224005974695634,1
Tsitsipas S.,3.144433473050322,0.24998862914052508,1
Harris L.,1.4173607534576578,0.4527135585612774,1
Rublev A.,3.3253591288902244,0.23299436489434622,1
Chardy J.,0.18513657754962512,1.0488980810311725,1
Evans D.,1.7639191862254682,0.32274935359611767,1
Dimitrov G.,3.415106673396654,0.2652523456211117,1
Schwartzman D.,1.507270506763265,0.3369454582556289,1
Jarry N.,2.9442914016989286,0.2758827506404328,1
Carreno Busta P.,0.5904618245896495,1.0100284650376143,1
Fritz T.,2.9352846343104946,0.24515352679985997,1
Rune H.,3.0014108908277324,0.25221116023774887,1
Murray A.,2.1286381426698724,0.35001073761290563,1
Zverev A.,3.3636430486189814,0.23599350626228438,1
De Minaur A.,3.07767445057347,0.25367689913864866,1
Ruud C.,2.627476516613424,0.26421324560433385,1
Ruusuvuori E.,2.241441305805816,0.29762936657641625,1
Humbert U.,2.500576009403698,0.26819859868532014,1
Kudla D.,1.6025839607674548,0.6667128756173358,1
Mannarino A.,2.6445712588153967,0.2524010180605841,1
Holt B.,0.7713206129936185,1.0344442723895215,1
Couacaud E.,0.6954006424889609,1.1618458445289275,1
Cressy M.,1.0472476342471035,0.39812354074721057,1
Zapata Miralles B.,1.5384038833585516,0.3296366172074324,1
Lajovic D.,2.275977489893201,0.29210240314984126,1
Cerundolo J.M.,1.4043919509233547,0.4750704200762123,1
Darderi L.,0.9072812182075098,1.1687888008618612,1
Coria F.,1.1958809246710982,0.46095957125861964,1
Barrios M.,1.282461006203271,0.7044084076382894,1
Garin C.,1.9715905372725808,0.3449964807986868,1
Delbonis F.,1.6995562257667045,1.4008347788694147,1
Pella G.,1.4540370390102755,0.4080126643482022,1
Sousa J.,0.8700159490005613,0.6215666206162277,1
Dellien H.,0.8877162115892874,0.4960508609491174,1
Baez S.,2.0566301488679284,0.2687240590704646,1
Ramos-Vinolas A.,1.058091108811846,0.3366753119804611,1
Sock J.,1.1225110129717453,0.840225385706603,1
Thompson J.,1.9805728573905161,0.30429047808490234,1
Albot R.,0.9392770576080082,0.5037358426518226,1
Wu Y.,1.7246691055110819,0.37678207823265303,1
Isner J.,1.223871306314644,0.4205720445980369,1
Gomez E.,1.2990086057997186,0.65713576636809,1
Altmaier D.,1.560035448036699,0.3289879151664988,1
Otte O.,1.030626250296132,0.4717146493607886,1
Fils A.,2.671682848413756,0.3211042134479226,1
