player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Giron M.,2.784614340702139,0.20267606822990453,1,0.35,3
Mcdonald M.,2.9937079329633227,0.19425195841406237,1,0.35,3
Kecmanovic M.,2.4719870728090783,0.21647626978249,1,0.35,3
Nishioka Y.,2.6134788571858154,0.23670630631210907,1,0.35,3
Popyrin A.,3.0379569053169075,0.22297857235888738,1,0.35,3
Halys Q.,3.1780741344044343,0.2740126210657867,1,0.35,3
Safiullin R.,3.168648902451265,0.22288603246672115,1,0.35,3
Draper J.,4.142599032719487,0.28321014295547187,1,0.35,3
Kokkinakis T.,3.320184628127332,0.2815920260331726,1,0.35,3
Medvedev D.,5.214346320696653,0.18379125372741567,1,0.35,3
Khachanov K.,4.064966778893112,0.21527514394510236,1,0.35,3
Djokovic N.,6.364953776280323,0.2644680795837771,1,0.35,3
Sinner J.,5.454815066530871,0.20465249582476097,1,0.35,3
Shapovalov D.,3.302696530835951,0.28405460722245235,1,0.35,3
Bautista Agut R.,2.9413439908268444,0.24561389374623005,1,0.35,3
Korda S.,3.817602499268008,0.22680357485319608,1,0.35,3
Bonzi B.,2.5658280845661343,0.2715383986167282,1,0.35,3
Carballes Baena R.,2.2252603908019406,0.22923726438763634,1,0.35,3
Mmoh M.,2.9581926562075886,0.2983276888440886,1,0.35,3
Griekspoor T.,3.399742174275523,0.21186045794410072,1,0.35,3
Djere L.,3.061601074350529,0.20162427558940682,1,0.35,3
Cecchinato M.,1.8320734643484717,0.26757520384379085,1,0.35,3
Krajinovic F.,1.0569519740554096,0.4507664470952951,1,0.35,3
Van Rijthoven T.,1.2080359763007913,0.8082670454007216,1,0.35,3
Marterer M.,2.7143998408611183,0.38040047400894017,1,0.35,3
Martinez P.,1.6877038622359393,0.4222966976791602,1,0.35,3
Karatsev A.,2.981494970465235,0.2204114846626166,1,0.35,3
Cobolli F.,2.2570895089960348,0.48982838013140806,1,0.35,3
Van De Zandschulp B.,2.690191144496434,0.21221525976727365,1,0.35,3
Cilic M.,2.054256968118876,0.8690643868352164,1,0.35,3
Davidovich Fokina A.,3.374139570761998,0.20643953164238066,1,0.35,3
Paul T.,3.7152460058170313,0.1857327994729166,1,0.35,3
Millman J.,2.566821262561935,0.7463623296209251,1,0.35,3
Haase R.,2.9892374604856062,0.867307104747989,1,0.35,3
Huesler M.A.,1.0477523608748867,0.3056260326274593,1,0.35,3
Kwon S.W.,2.8615469486191274,0.4529253755723427,1,0.35,3
Ymer M.,2.1730881801706445,0.28767286268783326,1,0.35,3
Kubler J.,1.9479075730023578,0.29504259367654956,1,0.35,3
Lestienne C.,0.5555822707374242,0.38512036230848423,1,0.35,3
Goffin D.,2.2432176202241227,0.324593966361119,1,0.35,3
Brooksby J.,3.9302822653165044,0.5089900382119016,1,0.35,3
Gasquet R.,1.7037584105137813,0.26275813656134744,1,0.35,3
Wolf J.J.,2.8576208737998954,0.2083085971120226,1,0.35,3
Barrere G.,2.7049873540978493,0.22469747281827657,1,0.35,3
Eubanks C.,2.684218350109108,0.23119795891254377,1,0.35,3
Lehecka J.,3.1953179781835304,0.19811888081791762,1,0.35,3
Shelton B.,3.1311070998046797,0.2106582441573288,1,0.35,3
Norrie C.,3.4473975359384648,0.2057517164767681,1,0.35,3
Moutet C.,1.1662535615676537,0.3338079193731248,1,0.35,3
Watanuki Y.,2.3351084515847607,0.37269874320110186,1,0.35,3
Etcheverry T.,3.1418040890671013,0.20151144113709438,1,0.35,3
Cerundolo F.,3.3777817462179724,0.1916974563871506,1,0.35,3
Shang J.,2.0460788063759656,0.40622031764766653,1,0.35,3
Hurkacz H.,4.17495623016168,0.2079722896205822,1,0.35,3
Tiafoe F.,3.5116807117391526,0.20353736442056786,1,0.35,3
Nadal R.,3.3554736090855575,0.815775254396424,1,0.35,3
Daniel T.,2.024999161908585,0.29478831912328396,1,0.35,3
Sonego L.,2.882065657789335,0.20671176745114966,1,0.35,3
Svrcina D.,2.030715579443927,0.6827560846256634,1,0.35,3
Fucsovics M.,3.133545871963409,0.23759438558394108,1,0.35,3
Molcan A.,2.2988400225058836,0.281503092369743,1,0.35,3
Hijikata R.,2.6236167121011196,0.29027909375139294,1,0.35,3
Auger-Aliassime F.,3.1338805809418417,0.22551368510565914,1,0.35,3
Tsitsipas S.,4.403314623850069,0.19558035517600098,1,0.35,3
Harris L.,2.0384095723227333,0.3273785699690285,1,0.35,3
Rublev A.,4.4639315975454865,0.17631392281302102,1,0.35,3
Chardy J.,0.47302009273840023,0.7174878771093832,1,0.35,3
Evans D.,2.7834617896862417,0.23859115720512525,1,0.35,3
Dimitrov G.,4.588650199758839,0.2045753046807577,1,0.35,3
