player,mu_generic,sigma_generic,ATP,mov_w_scale,mov_w_cap
Giron M.,2.739544686965362,0.202669322649793,1,0.35,3
Mcdonald M.,2.9485014559687204,0.1942442691350959,1,0.35,3
Kecmanovic M.,2.427211400261063,0.21645784851824093,1,0.35,3
Nishioka Y.,2.5682830897130513,0.2366982284871731,1,0.35,3
Popyrin A.,2.9926906773880146,0.22297212381410128,1,0.35,3
Halys Q.,3.1328115412354327,0.27400667830457,1,0.35,3
Safiullin R.,3.1233930586588374,0.22287924126082634,1,0.35,3
Draper J.,4.097720710943112,0.28319736267251766,1,0.35,3
Kokkinakis T.,3.274842369995335,0.28157966251574507,1,0.35,3
Medvedev D.,5.168792994830179,0.18377663229328792,1,0.35,3
Khachanov K.,4.019626071894374,0.2152612119191618,1,0.35,3
Djokovic N.,6.319429515002216,0.2644422613548955,1,0.35,3
Sinner J.,5.409195333428138,0.20463368820428698,1,0.35,3
Shapovalov D.,3.2573709325761646,0.28404277306757125,1,0.35,3
Bautista Agut R.,2.8961524771692964,0.2456044807183687,1,0.35,3
Korda S.,3.772395211244377,0.22679591713338149,1,0.35,3
Bonzi B.,2.521134160116361,0.27151949034063066,1,0.35,3
Carballes Baena R.,2.1804120640470277,0.22922286920089807,1,0.35,3
Mmoh M.,2.913623825805584,0.2983096796919593,1,0.35,3
Griekspoor T.,3.354443130480036,0.2118511265893481,1,0.35,3
Djere L.,3.0165337728559822,0.20161119293539495,1,0.35,3
Cecchinato M.,1.7870125167771496,0.26756435297921827,1,0.35,3
Krajinovic F.,1.012393221231577,0.4506651501855483,1,0.35,3
Van Rijthoven T.,1.164854597970688,0.8081410467483836,1,0.35,3
Marterer M.,2.670080532436881,0.38037673986423665,1,0.35,3
Martinez P.,1.6429518405827008,0.4222421148403937,1,0.35,3
Karatsev A.,2.9363579953646424,0.22040114417443657,1,0.35,3
Cobolli F.,2.212820900303381,0.48978398368363146,1,0.35,3
Van De Zandschulp B.,2.645049740031696,0.21221282786695667,1,0.35,3
Cilic M.,2.0114851872181556,0.869081507729397,1,0.35,3
Davidovich Fokina A.,3.328868987131581,0.20642950675972135,1,0.35,3
Paul T.,3.669957544223602,0.18572360779938596,1,0.35,3
Millman J.,2.5228301285401162,0.7462924291266673,1,0.35,3
Haase R.,2.9461173109464127,0.8673032898462103,1,0.35,3
Huesler M.A.,1.0029515182354616,0.3056095050075095,1,0.35,3
Kwon S.W.,2.8166943246761167,0.45290207979020447,1,0.35,3
Ymer M.,2.127944862611814,0.2876576174218703,1,0.35,3
Kubler J.,1.9027800799900152,0.295028229629288,1,0.35,3
Lestienne C.,0.5115397243206519,0.385037772779263,1,0.35,3
Goffin D.,2.1988444284509203,0.32455472300006205,1,0.35,3
Brooksby J.,3.885365491728759,0.5090109533067385,1,0.35,3
Gasquet R.,1.6590929820307785,0.26273126811308445,1,0.35,3
Wolf J.J.,2.8125292054787128,0.20829412653067192,1,0.35,3
Barrere G.,2.659852697893537,0.22468728445827488,1,0.35,3
Eubanks C.,2.639145333136371,0.23118986766514626,1,0.35,3
Lehecka J.,3.1501126247608244,0.1981137221453853,1,0.35,3
Shelton B.,3.0857383537202856,0.21065331335719525,1,0.35,3
Norrie C.,3.4023380177851985,0.20574158342790744,1,0.35,3
Moutet C.,1.1223339081945432,0.3337361185195292,1,0.35,3
Watanuki Y.,2.290222733485972,0.37266475401153953,1,0.35,3
Etcheverry T.,3.0966472173350073,0.20150187838701225,1,0.35,3
Cerundolo F.,3.3326018705842255,0.19168819030306972,1,0.35,3
Shang J.,2.0012731629388414,0.4062079151312044,1,0.35,3
Hurkacz H.,4.129654142213119,0.20796058405914836,1,0.35,3
Tiafoe F.,3.4664420217646956,0.20352690367854806,1,0.35,3
Nadal R.,3.3118148184565683,0.815753125416266,1,0.35,3
Daniel T.,1.9800896035600584,0.2947718756784299,1,0.35,3
Sonego L.,2.8368050490888024,0.20670152213531662,1,0.35,3
Svrcina D.,1.9878779258512458,0.6826153453918522,1,0.35,3
Fucsovics M.,3.088548574985421,0.23758044783780743,1,0.35,3
Molcan A.,2.2537547709887638,0.28148457005012645,1,0.35,3
Hijikata R.,2.5787741100044737,0.2902694067882861,1,0.35,3
Auger-Aliassime F.,3.0886880842968014,0.2255084008994097,1,0.35,3
Tsitsipas S.,4.357844188745582,0.19556699567191066,1,0.35,3
Harris L.,1.9934966992918721,0.3273600298511481,1,0.35,3
Rublev A.,4.418443631363577,0.17630273885239903,1,0.35,3
Chardy J.,0.4291815699661601,0.7173388343919334,1,0.35,3
Evans D.,2.7383273147323175,0.23858145062652977,1,0.35,3
Dimitrov G.,4.543128055117278,0.20455844039858145,1,0.35,3
Schwartzman D.,1.9939528865790601,0.24327052709591201,1,0.35,3
Jarry N.,3.7954793330662175,0.21001096646628778,1,0.35,3
Carreno Busta P.,1.5410254778228487,0.7130608889766544,1,0.35,3
Fritz T.,4.212843509985103,0.1957440284075536,1,0.35,3
Rune H.,3.7447220459373387,0.1939313640297592,1,0.35,3
Murray A.,2.7142760814759064,0.26193491193472934,1,0.35,3
Zverev A.,4.295343568971514,0.1740009971045693,1,0.35,3
De Minaur A.,3.817916362614546,0.18880165547870698,1,0.35,3
Ruud C.,3.682959343611258,0.2055202498941228,1,0.35,3
Ruusuvuori E.,3.120088121118764,0.22924049758469095,1,0.35,3
Humbert U.,3.380539637710246,0.2108235027345668,1,0.35,3
Kudla D.,1.6005822798286757,0.5346737515671881,1,0.35,3
Mannarino A.,3.370982183455955,0.18713307430725648,1,0.35,3
Holt B.,-2.7709486408263677,2.24128777168025,1,0.35,3
Couacaud E.,1.3065661585328698,0.7437072566324648,1,0.35,3
Cressy M.,1.6568932797574119,0.2921731551370298,1,0.35,3
Zapata Miralles B.,2.091083915207461,0.24078093554102056,1,0.35,3
Lajovic D.,2.8904433593151584,0.21628245191180903,1,0.35,3
Cerundolo J.M.,1.627892272382659,0.36150413763884304,1,0.35,3
Darderi L.,1.2642347806820693,0.799033613006028,1,0.35,3
